ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_Tres,Dem_2022_Tres,Rep_2022_Tres,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_Gov,Dem_2022_Gov,Rep_2022_Gov,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2022_AG,Dem_2022_AG,Rep_2022_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,330998,96786,229118,345710,104335,233107,292579,78115,214464,296857,80103,212934,297391,78497,216519,292786,94470,198316,294906,77100,217806,425506,140758,276249,307294,89688,211381,309918,98692,206422,309106,100411,208695,367645,104632,242893,361501,92774,253091,558694,426031,28885,76936,16220,8339,520,73167,12359,2038,2450,0,732687,530813,49320,114798,31663,13859,3793,0,0,569168,432236,30450,78057,17358,8255,567,0,0,0,0,0,746261,536489,51776,117052,33021,13568,3906,99797,19727,2206,915,2085,33263,658852,490836,34671,101563,24470,11942,2345,512543,394875,23792,69175,17700,9057,1536,605666,437444,40422,73423,17775,3487,930,2767,29418,768816,534202,59211,116365,35377,25151,3522,605666,437444,40422,81810,25730,19072,2292
4,2,340934,82349,255735,340878,89792,245458,318659,68472,250187,322060,72690,245642,322723,69227,251662,320588,72552,246812,320350,66393,253957,416329,109354,302406,303553,75773,222428,305732,81564,218489,305233,87835,217398,370052,93024,263558,363219,94927,250201,601314,495365,26364,64406,6706,7436,374,62048,5352,2458,1025,0,762104,603198,48352,89473,13088,10256,1720,0,0,606547,499071,27486,63706,6782,8007,450,0,0,0,0,0,765356,603834,48762,89366,13593,10982,1533,78664,9129,2896,634,2213,19231,734918,594519,38539,83677,10632,10461,1069,589016,485658,26808,62311,7727,8036,710,628116,497515,38465,58145,7660,2724,286,1803,21518,769573,594047,54664,84591,14518,20981,1711,628116,497515,38465,63355,10666,16356,1106
1,3,325009,177086,143895,353054,198272,148673,279790,140839,138951,284619,149045,132401,285116,145198,137765,283420,150185,131763,282103,139617,142486,402461,230017,166683,326644,178750,142649,331399,192460,135667,330740,197952,132788,371097,201919,151717,364574,189510,163689,585942,368886,37322,159913,14762,4047,195,156355,12882,1852,1391,0,756271,444467,57689,219921,32793,6490,1114,0,0,592831,371124,38883,162193,15249,4390,231,0,0,0,0,0,762661,444296,59616,221849,33524,7021,1050,207737,27616,1645,289,2506,18951,725054,442131,47210,207466,26827,6506,927,582137,369491,36382,153200,21457,4928,694,622567,368115,53950,151622,24297,1414,265,2485,20419,769202,434683,70317,216040,37592,13994,1332,622567,368115,53950,161708,29588,10796,963
2,4,276944,142202,131160,307510,160620,141215,229210,110921,118289,232519,113789,115762,232684,110976,119366,130247,73294,56790,230692,108050,122642,362852,199195,157860,278711,145642,128567,281718,157650,121494,280338,154023,126315,326103,167035,145414,320272,140556,167743,526125,281297,38249,182391,18846,3681,285,179111,16758,1256,1904,0,725830,346235,72582,269700,38905,6512,2180,0,0,532580,279715,40944,186086,20491,3704,319,0,0,0,0,0,733173,340741,76534,272598,40621,6723,1980,254904,31570,1380,409,3901,23730,677628,351618,51600,244733,30637,7008,1658,515288,287933,35758,168360,22362,5180,1127,599587,286528,63925,194266,27288,1522,555,3601,21902,769300,339896,89666,289987,44043,14937,2246,599587,286528,63925,208808,33208,11486,1620
5,5,377257,116754,256060,375892,118258,250652,352605,101031,251574,358328,106252,248338,358745,102724,253980,148196,35108,111920,355018,98836,256182,466567,162437,297478,342714,104854,232705,346931,117999,225829,346115,116567,229548,382092,114176,250726,375609,93887,268065,536427,430069,36243,44846,19202,4105,246,42457,16083,1326,1804,0,712902,546038,57939,70316,37061,7436,2554,0,0,552460,440549,38203,47963,19677,4235,366,0,0,0,0,0,734350,556678,62192,74113,37538,7670,2948,60394,25527,1489,409,3324,24342,609818,484416,39230,57465,26816,5810,1492,464747,379523,26082,38294,18523,4140,938,598637,450822,48025,47750,24458,1484,594,2560,22944,769297,559160,70351,80405,43606,16820,2526,598637,450822,48025,55831,30608,12329,1649
21,6,346827,129852,213720,352035,141094,204415,317312,109382,207763,323304,114364,205656,323729,108513,213081,301465,37521,211454,319989,103355,216634,432211,173609,253680,319587,122347,190996,322522,134258,183687,322160,136807,185353,367129,143726,208707,359020,137430,204731,587359,448901,62766,61711,9117,4085,195,60064,7705,1728,730,0,743614,535013,97938,91829,17542,5926,1087,0,0,600776,455999,66451,63849,9598,4242,127,0,0,0,0,0,759013,541070,102105,95305,17561,6055,1028,83723,13216,1950,242,2049,14659,683935,513877,73251,82736,13117,6743,910,549301,430331,49578,57888,9648,5089,644,633296,459638,77556,59885,11552,1584,288,2751,20042,769994,533288,108058,95999,19527,16680,1463,633296,459638,77556,68924,14920,12988,1059
12,7,297308,150263,142684,324244,168893,146529,249425,116275,133150,255438,122892,129486,255556,117485,135998,252126,121064,129801,251939,113249,138690,388711,209593,173439,288857,146781,136104,293178,160731,128761,292735,161006,131729,343096,177562,147066,341765,157720,162407,549821,313037,149622,58909,23594,2579,310,56211,21443,1046,1879,0,749576,385780,228889,98113,46307,6009,1682,0,0,557856,315156,153878,60732,23215,2847,442,0,0,0,0,0,758729,387339,232885,99935,47224,6421,1760,77124,37350,1001,604,3412,19019,669703,388047,171787,81543,35197,6047,1543,516700,314293,122397,57548,25955,4397,1077,608877,305023,182900,60223,34746,958,381,3933,20713,768410,364751,244167,106428,54871,15011,2081,608877,305023,182900,78158,41480,11341,1523
17,8,375132,140439,230335,385347,150004,226631,340411,118845,221552,347824,125169,218831,348189,120251,225776,344435,120472,223933,343890,112726,231164,461966,186187,269533,352875,130621,215286,356185,143096,207650,355789,150230,205559,399766,148780,231704,392404,141504,230212,588329,472269,46021,51722,12296,4171,458,48995,9391,1755,1466,0,742897,561669,74462,81562,22880,7117,1256,0,0,601805,480914,49491,52561,13156,4121,454,0,0,0,0,0,755816,567460,79014,82283,23870,7017,1367,65275,15967,1562,679,3485,22374,684867,535787,57542,72223,17740,6658,1435,551447,447711,39599,48782,13012,4904,955,635069,480408,61097,50560,14803,1588,427,2854,23332,769438,557143,85429,84466,26675,16641,1883,635069,480408,61097,59524,19939,12874,1330
14,9,257803,138101,116754,270867,152850,112969,220736,107424,113312,224803,112231,109957,224911,107192,115878,222543,113570,108138,222436,105529,116907,357946,202606,151122,237567,130953,102412,240168,140261,96979,239979,137622,102356,279674,163362,104396,274524,142785,121041,441500,188704,182608,41989,24218,1777,554,39918,22458,698,1746,0,664395,252371,297001,83832,43602,6111,2444,0,0,456232,190237,192971,43816,25263,1930,524,0,0,0,0,0,686991,251939,312354,88081,46813,6551,2009,60392,38078,888,408,4545,18385,511957,225256,198330,63522,33159,4967,1975,381034,178687,139016,43410,24437,3511,1306,587771,215856,259503,48865,33243,824,518,6232,22730,769765,267450,350037,95981,52884,13649,2347,587771,215856,259503,69277,39238,10336,1724
13,10,261006,156510,101275,288791,177048,105874,214374,120423,93951,219664,127364,89902,219632,122225,95462,216518,122241,91575,216370,118036,98334,346739,218670,123395,259553,155140,99773,263218,168040,92423,262544,167769,94775,305746,185219,106066,299788,167714,119162,519423,244740,110902,140323,18261,3890,279,136862,16632,1050,1912,0,765299,297505,198399,238727,34037,6820,1577,0,0,526157,242082,114143,145788,19264,3517,178,0,0,0,0,0,773319,293141,203027,246799,35918,6652,1534,220541,28196,1103,140,7550,19617,670416,307425,139071,200677,28259,6429,2332,513415,256705,99298,137781,21517,4675,1676,602827,241155,152091,154271,23505,1066,410,6353,23976,769810,282333,205005,239885,37426,14139,2211,602827,241155,152091,173440,29293,11005,1635
28,11,363541,121867,239069,359797,127839,226494,342517,105930,236587,349197,111978,234237,349629,106200,241596,338569,73598,240246,345826,99357,246469,439931,162583,273491,331815,110651,215913,334320,121344,208268,333999,123342,210657,368556,128614,228382,362444,121726,223625,573470,445737,54960,59276,9025,3808,107,57341,7657,1647,777,0,713638,515386,89400,91168,15601,5676,805,0,0,585934,451801,58668,60518,10101,4085,358,0,0,0,0,0,731090,521744,96060,94234,17168,5830,1200,80378,12344,1852,575,2568,15573,628961,471753,65205,78477,11788,5995,1001,512862,403353,44200,54803,8491,4487,693,642291,467215,77612,61627,11681,1690,338,3192,18936,769890,531218,107946,98151,19393,15470,1461,642291,467215,77612,70429,14850,12222,1081
25,12,356998,131373,221610,361210,139734,213050,327429,112150,215279,332950,116177,212276,333771,112997,218775,330585,115585,212924,330311,107128,223183,444181,173449,265250,325454,116281,202814,327645,132687,189456,326865,138089,188776,378932,140367,221739,370257,138122,210469,569896,472686,57478,22907,12375,3350,315,20896,10647,1494,956,0,735333,579872,90930,39601,24837,5660,1404,0,0,581428,477637,61182,24918,12657,3558,480,0,0,0,0,0,749950,582157,96382,44647,26100,5979,1511,30493,19131,1652,524,3022,16590,679908,566812,63797,29414,18220,5744,1011,543611,466550,43534,18862,12457,4259,682,625259,488137,73460,22426,16680,1480,308,2376,20392,769828,578095,103420,44873,28936,15855,1551,625259,488137,73460,30296,20667,12096,1043
24,13,355896,175574,175954,368471,186109,173618,320533,150717,169816,326462,154530,166746,327446,152944,172339,324310,162609,156979,323470,146317,177153,438611,224781,207821,335392,156852,171175,338675,178873,154375,338151,185050,153101,388038,189800,178788,378658,181352,176789,611917,473478,45748,69441,17946,4144,446,66200,16037,1610,1171,0,773796,554832,78194,107707,32719,6982,1679,0,0,620124,475616,48744,70759,19869,4136,398,0,0,0,0,0,780043,555371,81009,108991,33997,6816,1700,90698,27722,1529,714,2506,20497,736088,548428,61370,96987,27493,6481,1561,605560,473635,42809,66209,20405,4863,1041,651139,471357,63396,65650,23902,1400,494,2956,21984,769751,530329,85614,103005,36841,15075,1691,651139,471357,63396,74702,28686,11985,1179
23,14,269424,150158,115569,294173,171042,117094,225413,115471,109942,229434,118595,107393,229923,116231,111457,226250,123571,102677,227668,113449,114219,356151,208507,142337,263987,146095,113526,266398,162141,101097,265220,161515,103705,313067,182849,114609,306290,165520,127460,532740,271065,136984,103012,17337,3235,317,99275,15023,1025,1403,0,767462,328798,245086,171309,38961,7417,1845,0,0,546029,271891,148503,102893,18727,3132,356,0,0,0,0,0,782846,330518,256461,175445,42003,6684,1561,138403,32094,1411,406,2034,21522,680223,317321,189608,154362,29078,6495,1666,529634,266727,139515,106801,22001,4752,1210,614539,267413,190700,101216,30636,1049,360,3869,19296,769367,311759,249231,165085,47262,13064,1901,614539,267413,190700,119999,36463,10115,1336
27,15,292284,125482,163008,300942,134069,160266,260848,105419,155429,264962,107454,154011,265410,104784,158491,261043,100445,156360,263320,101232,162088,381576,177644,198462,269936,113381,151877,271730,126899,141167,271286,127754,143532,310602,134222,161754,304582,124834,164799,515357,326814,94382,74054,15096,3530,353,71688,13442,1162,1572,0,729963,405159,176839,120150,31015,6405,1699,0,0,528684,330117,98880,79324,15356,3418,252,0,0,0,0,0,746068,406385,181333,129581,31547,7276,1459,109218,23843,1680,398,4170,19042,617708,382366,125736,90455,21642,6119,1290,460327,306233,80435,59223,14782,4252,846,588507,326128,135506,80072,22436,1455,372,3055,19483,769141,393888,197231,137224,38230,17499,1774,588507,326128,135506,94331,27269,13022,1259
26,16,378858,153235,222196,375681,159307,209471,357817,134135,223682,364584,140189,220878,365192,136857,226695,362087,135144,225613,361619,130302,231317,453832,197497,251672,347182,141426,199265,350164,153089,192321,349719,156037,193682,383917,159152,209284,376143,148962,211156,581328,493060,41783,33862,8963,2948,192,32348,7809,1060,565,0,742933,574511,95168,54465,17452,4367,691,0,0,597292,502997,46128,35174,9478,3003,228,0,0,0,0,0,760567,584198,99232,57013,18211,4660,781,47002,14675,1280,227,1500,12450,648462,515308,73200,46633,11922,4525,831,535565,446762,47961,30674,8569,3297,558,649837,509837,74248,32233,13028,1134,274,2215,16868,769211,573432,106932,54393,20859,12221,1066,649837,509837,74248,38047,15908,9538,726
20,17,286970,96840,187973,292908,108115,180300,257581,76230,181351,263326,78347,182087,263940,75916,186581,257347,55342,183219,260376,73803,186573,367102,137014,226685,262569,91314,165883,265559,99888,160851,264596,104492,160104,310327,113969,185534,303838,103871,184535,568167,414430,83550,57942,6657,4150,500,55988,5983,1456,1094,0,778006,494915,171451,96671,12702,7218,1413,0,0,588142,423416,89508,61667,7771,4365,414,0,0,0,0,0,793939,500421,175027,98950,13670,6873,1579,86091,10603,1892,425,4228,15255,682745,459007,128384,84889,9841,6815,1115,536725,387250,83702,57225,7082,4762,784,618915,412157,117863,60549,8042,1589,197,2467,16051,768796,475274,172202,96947,13795,15213,1175,618915,412157,117863,68481,10358,11428,827
22,18,294635,113776,177647,300209,122326,171807,264205,94101,170104,269084,96915,168823,269546,94244,173462,258773,50748,173276,266603,90295,176308,386226,162249,219201,267875,103254,159870,269492,113627,151701,269304,115291,154013,311483,123814,174377,305057,116654,172337,527768,364414,87783,59658,11009,4185,252,57896,9759,1887,627,0,720091,446537,153898,100982,21005,7403,937,0,0,546590,369882,99017,61097,11379,4267,286,0,0,0,0,0,741164,451337,167167,103766,21858,7968,1120,85235,16682,2180,348,2611,15593,614026,420488,103965,75066,15025,5847,1167,471812,343550,67257,49694,10441,4187,771,602751,369011,132275,63758,14593,1446,272,2849,18547,769089,439867,189582,108388,24544,16986,1495,602751,369011,132275,75772,18070,12816,1076
8,19,356225,120618,233168,364901,128554,231353,321657,96569,225088,329470,100243,226868,330090,97937,231067,326349,102023,224110,324650,95968,228682,446086,170483,272312,332987,110178,217895,337593,120965,212478,337398,124682,212716,373603,134254,227468,368511,111170,245435,568476,473350,62284,20740,9372,2184,102,19943,8283,955,574,0,741005,545670,139853,38853,16259,3529,816,0,0,583779,483296,67022,21035,9987,2076,74,0,0,0,0,0,759118,556858,145451,38272,17106,3310,552,30848,14056,859,170,1919,8954,647925,495323,110053,31077,11683,3705,940,536009,431379,75892,19882,8376,2716,677,655275,496460,108546,21077,11302,853,194,2356,14487,768850,552839,148287,38976,18714,10170,1004,655275,496460,108546,27067,14276,7827,745
15,20,248598,185983,60848,280723,219258,58854,199741,141932,57809,203103,144377,56623,203316,140967,60723,197651,142224,54982,200689,141228,59461,339227,257871,78717,252660,198508,50902,256015,205101,49417,249159,199642,49517,299079,231986,60336,293130,222571,64664,487350,154754,80761,238263,9858,2277,115,234680,8861,603,1997,0,760825,183139,155165,406877,22234,8460,1275,0,0,500992,154646,85811,245173,11094,2412,180,0,0,0,0,0,771566,184619,158439,410043,24120,7843,1601,388590,17553,784,289,4085,17195,681174,200931,116580,350724,18900,4306,2574,523406,178698,87153,245982,14627,3102,1987,603838,156891,129290,277581,15210,856,212,4970,18828,769228,173801,168902,404122,24429,9005,1503,603838,156891,129290,296936,19574,6989,1215
19,21,359163,144998,211427,365219,159586,200956,328115,120534,207581,334683,125382,206389,335094,120919,212668,332108,117516,214592,331260,117693,213567,447019,195311,247833,331718,138008,187803,335898,150218,182275,335672,153566,182106,377267,157912,206345,371975,162870,199762,568893,434088,64205,56482,10405,2808,254,54721,9455,1122,966,0,747870,513251,119582,94888,21146,5392,1494,0,0,579172,439247,67209,59394,9702,2735,255,0,0,0,0,0,758558,516404,121866,98741,19645,5489,1498,85865,15550,1297,383,2717,14478,674256,487387,90981,81236,14647,5675,1166,538589,410973,61362,54938,10517,3952,862,628634,437439,91692,64088,12985,928,248,3120,18134,769030,503084,130660,102034,22267,13315,1371,628634,437439,91692,72763,16596,10008,1000
18,22,293077,165796,125049,311208,185364,122048,254430,134347,120083,258825,137503,118543,259263,134044,123823,256965,142475,114490,256420,132622,123798,378092,222497,152519,281969,166397,110445,285193,175618,107401,285663,176272,109391,323935,192143,122565,317178,179342,130135,511592,318871,98383,77609,12722,2282,268,76032,11645,595,1691,0,761121,374343,216431,151170,24148,4992,1222,0,0,518863,315718,103651,81714,13679,2522,201,0,0,0,0,0,763874,367512,220428,156123,25343,5163,1174,138114,19932,781,189,2757,14164,678026,378580,164592,119456,19114,6920,1744,536786,327297,117172,80283,13936,4772,1259,619401,322680,165830,94797,16915,638,254,3346,14941,768729,363444,226611,148938,27232,13856,1323,619401,322680,165830,106474,20651,9989,1030
16,23,326214,172445,151322,345859,191591,150204,283848,138699,145149,289247,144506,142231,289628,139908,148269,285714,145113,136684,285602,138977,146625,421803,232978,185616,311517,172931,133592,315593,179033,134407,308927,178739,130188,364934,199559,155070,356956,186614,162171,530510,368110,83996,58710,16293,2071,212,56478,14991,800,1280,0,739347,455284,148783,102838,31680,4821,961,0,0,541688,369384,90007,60785,17787,1939,347,0,0,0,0,0,750772,457843,151803,105774,33954,4326,1248,90214,26711,836,257,6578,16534,684753,469876,109047,78362,25827,3390,1256,556038,398142,81548,55030,19102,2481,928,632227,379409,121938,68268,23436,645,207,8563,29761,769292,437267,158890,109511,37494,8065,1235,632227,379409,121938,80290,28479,6255,901
10,24,227928,171514,54933,263076,209769,51208,173343,120911,52432,178248,123903,52330,178548,121397,55370,174984,125294,49690,174760,120914,53846,321931,239025,80629,231752,187733,40531,235143,194082,39381,232693,191395,41298,284945,232401,46448,279339,214078,59341,475451,70435,155856,239436,7230,1324,343,238292,6749,907,1037,0,776808,100000,285184,394023,14189,2716,1462,0,0,478913,66362,164161,239098,6735,1417,294,0,0,0,0,0,777743,96234,293731,393648,13326,3732,1199,364568,10056,1109,223,3616,8201,724024,102279,241902,385694,14416,4017,2842,545860,83851,188973,276046,11317,2813,2282,602806,76799,252605,246032,9834,509,94,3653,13280,769212,96594,315191,356020,16443,6814,932,602806,76799,252605,271223,13082,5273,754
11,25,289283,167555,119322,316310,194081,118168,241115,127357,113758,245742,131589,111842,245911,127669,116647,240233,131575,108603,242232,128183,114049,391082,231151,156742,279610,173259,101692,284213,178702,103186,274455,176506,97949,340049,210474,119057,332990,194549,130491,510423,226622,182082,73845,22885,2440,546,71077,20569,1354,2290,0,766074,293271,308485,128728,46167,6371,2042,0,0,518097,221393,188110,80680,22730,2323,417,0,0,0,0,0,772114,286209,313592,138475,46663,6649,1721,112114,35447,1592,466,4484,18213,702456,322730,242026,109621,35644,4764,1411,540656,261539,179700,77916,26127,3269,1065,608748,221861,251167,81648,30068,979,232,4646,18147,768579,265267,324621,132763,48529,10050,1441,608748,221861,251167,99312,36576,7711,1107
9,26,227435,81138,144725,235311,97006,135380,195931,53149,142782,201190,53512,146060,201423,53233,147020,199036,50342,146802,197265,54955,142310,310128,115976,192098,196853,78211,114437,201560,83584,115115,202785,85214,117571,255252,124192,123612,251092,95649,149847,441319,83894,336531,15518,3864,1131,90,15293,3335,769,358,0,781092,108941,636636,37916,9764,2711,305,0,0,450227,85191,344706,14980,3742,1087,44,0,0,0,0,0,782983,111361,636227,36984,9448,3054,607,23713,7039,1080,46,581,2941,704256,105251,566906,37448,8082,2979,750,554971,79969,451371,28440,6228,2034,557,626043,91535,503990,16458,6597,462,48,1430,5523,768684,115523,611939,37816,11526,7221,625,626043,91535,503990,29062,8930,5486,453
7,27,274787,143138,129564,291704,162255,126019,235370,107227,128143,240406,110848,127367,240590,108842,130221,238309,111407,126902,236512,110180,126332,363273,192853,167543,254634,141211,108716,261814,148062,111183,262069,151496,110573,310098,184489,115087,305573,155480,143287,463350,115872,298791,37841,9134,1217,45,36837,8446,478,502,0,763907,160033,529680,66930,20481,3995,647,0,0,470712,115611,304786,37913,10261,1181,45,0,0,0,0,0,769831,163032,529551,66060,22737,4097,726,48807,16816,706,308,3080,7532,716953,173696,470970,68082,17663,3214,828,586572,142140,387833,52823,14491,2482,635,640853,140929,432151,36262,13758,317,122,3377,13937,769194,168654,517617,63495,21981,7382,777,640853,140929,432151,51761,18138,5931,641
6,28,248203,114613,131553,263120,136910,122591,209695,79092,130603,213836,80813,131074,214002,78936,133518,212171,79466,132386,210947,80450,130497,343185,162653,177910,223131,116027,102279,228790,122637,103459,228960,125089,103871,282697,160067,112690,278100,135421,135549,454582,97209,297486,49700,8552,760,70,48467,8026,387,798,0,746790,129316,523348,91319,16642,3417,1112,0,0,463800,100482,303153,49645,8605,801,99,0,0,0,0,0,749029,136032,516802,91136,17034,3711,1034,72206,12846,430,212,3366,7136,672218,133274,448253,87075,15244,3000,1075,508608,105182,340055,59532,11585,2194,820,605756,98938,432482,52157,10381,460,147,2391,8800,768711,123215,545459,92064,18011,9221,807,605756,98938,432482,67127,14118,7146,599