ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,307441,174182,125257,337297,160070,157288,330742,178291,152451,340419,182532,152345,254082,153843,93922,305584,187576,109572,298007,176699,121308,313543,166459,128796,306219,176519,115598,550258,373736,67433,98881,6584,3204,205,96259,5237,1248,630,0,735727,464169,114139,144744,13828,5834,865,0,0,551155,372845,68616,99749,6638,3034,111,0,0,0,0,0,736352,459060,116781,145338,14110,5586,563,131522,9622,1459,142,1883,15875,743193,479439,101160,152523,11399,6287,599,0,0,557808,381938,64014,102962,7954,4258,371,0,0,580469,366688,82952,102401,8266,963,124,1761,17314,753778,447237,124610,157159,14907,16900,831,580469,366688,82952,110175,10686,12198,550
8,2,285728,111518,165314,313365,92583,187679,304359,113339,191020,314250,117882,190645,238045,104646,125253,286233,120199,156741,278758,90769,187989,290565,99948,172540,287849,114933,156003,535811,462743,28208,34426,5770,3867,272,30965,4735,1303,647,0,746322,594231,74686,59261,13935,6850,1243,0,0,538776,462893,30235,35019,5961,3883,218,0,0,0,0,0,747990,591485,76341,61039,14104,7249,1136,46671,10308,1490,316,1862,19533,737992,605765,63163,54543,10801,6684,778,0,0,546999,467278,36028,33066,7443,4545,475,0,0,570615,453120,54000,33554,8677,1362,215,1708,17979,753769,572530,87283,61777,15266,17126,962,570615,453120,54000,39015,10972,12229,620
9,3,293488,101220,182476,327068,79599,204040,319547,108429,211118,328566,111490,210030,244568,90312,145008,289528,108539,171099,282135,79449,202686,293975,87787,188326,291146,102581,169488,536247,472318,18222,33750,7268,4299,133,31057,6161,1190,588,0,740118,617911,42749,56178,19676,6826,661,0,0,539417,473755,19140,33905,8032,4008,194,0,0,0,0,0,743487,617184,43982,56996,20961,6200,706,44505,17231,1144,215,1125,18100,720702,617651,35592,50347,13464,5939,660,0,0,528009,465518,20359,30701,8257,4117,414,0,0,564007,468960,30316,32113,13328,1425,174,1539,16152,754842,608113,49268,58269,24071,14917,937,564007,468960,30316,37288,15488,10700,630
7,4,293630,107714,174801,321018,82647,189358,314852,111871,202981,321951,112456,202632,240438,94740,133079,294871,122715,161196,285894,92472,193422,298593,94637,184201,296291,112143,164752,571323,515125,17165,27171,7279,3963,243,24662,5866,1503,625,0,758998,642845,44437,43842,24178,5433,1306,0,0,572269,513248,18163,27776,8489,4133,216,0,0,0,0,0,759320,638897,45873,45082,24935,5912,1178,34584,20609,1347,196,1528,16277,751022,655959,36865,37178,16992,5631,748,0,0,582533,520054,21932,23646,13677,4104,494,0,0,590641,491982,33308,26183,15480,1266,172,1538,20712,753941,611432,52271,47842,25110,15732,3626,590641,491982,33308,31002,20659,11771,3265
3,5,357783,168288,178348,408842,148428,223480,399343,191338,208005,408517,208519,191617,304264,154805,139595,344559,158472,176938,333624,128054,205570,347276,149770,171882,345738,147136,182439,511682,423266,15792,52980,16441,2350,87,49768,14667,923,1054,0,714910,558447,36860,81678,37123,4257,709,0,0,520330,428917,16201,54545,17216,2454,161,0,0,0,0,0,726801,562711,38400,84117,38978,4851,804,70024,31585,947,167,2908,20056,631180,507060,29299,66704,26131,3718,706,0,0,460342,379665,17874,44198,16942,2566,433,0,0,565852,432497,30573,55110,27040,737,207,2186,17502,754168,557540,48236,89518,45328,12252,1110,565852,432497,30573,61460,30909,8760,700
4,6,316494,116058,189298,351674,95132,198031,342400,123908,218492,353283,127281,218489,260007,103828,144719,313927,126406,176762,304267,95376,208891,317238,101442,195836,315527,114743,181747,561439,517318,11295,18722,9655,3826,63,15988,8296,853,710,0,744753,655566,25902,29270,29112,5774,843,0,0,568300,521778,12656,19233,10452,3768,28,0,0,0,0,0,751683,657208,27895,29619,31098,5647,816,22119,26410,1059,51,1741,15201,711885,643894,20974,25250,17732,4991,680,0,0,547022,499804,13110,17475,13505,3621,437,0,0,589010,510108,20450,18079,18843,1119,184,1743,18484,754035,640892,32006,32797,29303,15811,1007,589010,510108,20450,22055,21819,11762,649
2,7,251011,153985,88839,270471,141157,101831,268658,168747,99911,269617,167597,97019,207901,132565,67645,253262,158258,86907,247560,141217,106343,255562,147089,92937,254101,149706,89314,492120,304271,21914,151751,9321,3616,137,146264,8175,1148,1609,0,726564,376763,82362,236493,30225,6590,591,0,0,496871,302218,24483,155541,9886,3542,110,0,0,0,0,0,731678,372485,83271,243130,32216,6288,548,221726,27152,1231,139,2354,23322,689131,393226,69268,208819,16390,6512,970,0,0,509032,313541,42091,140078,11671,4531,600,0,0,563820,293876,67669,156523,23040,1196,226,2416,18874,754135,355270,108524,241489,39172,16337,1183,563820,293876,67669,167528,26151,12042,832
5,8,313660,118171,186501,341288,85963,221661,332597,131186,201411,343361,112403,224633,261263,99263,150640,315626,140935,166654,300887,100916,199971,320318,96950,205809,316587,130477,169833,578559,536936,7233,25316,4522,3923,138,22729,3585,952,657,0,757338,683522,18708,40574,10145,5661,760,0,0,578548,535757,7787,25833,5244,3632,138,0,0,0,0,0,757343,678988,19929,41416,10567,5140,734,31917,8018,761,480,1412,15838,758845,695806,15228,35194,8056,5022,587,0,0,582634,541221,9224,23198,5522,3746,352,0,0,584754,521667,14354,23110,6154,1279,494,1430,16266,753332,660679,23112,40552,11025,14212,1431,584754,521667,14354,27180,7801,10664,872
6,9,317981,100810,207006,349299,82515,223359,339112,102517,236595,351292,102338,242447,260476,89784,158824,316748,112484,191539,306690,89158,217532,323458,89073,216913,320170,110735,194837,565680,531449,8731,17691,3959,3598,80,15034,3264,1136,357,0,740973,677617,22007,28436,8015,5204,653,0,0,567556,532665,8911,18181,3591,3876,82,0,0,0,0,0,742239,675435,23003,29089,8118,5575,684,19249,6141,925,84,2025,15379,739644,687557,18137,23791,5761,4954,657,0,0,560974,528239,10725,14847,3781,3687,424,0,0,583411,526752,17307,15373,4147,1143,165,1331,17193,753528,667311,28881,30614,8467,16156,928,583411,526752,17307,19377,5734,12098,573