ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,401457,159581,230934,460829,182707,271716,465005,182954,274899,367145,156377,202744,357672,137549,202211,367363,158170,197914,401456,142917,236280,621100,577857,8190,10069,3359,21106,205,8425,2517,12856,711,0,770041,703432,15261,14646,7867,30870,837,0,0,621798,577438,8815,10003,3490,21627,338,0,0,0,0,0,769170,699678,15799,14573,7996,30739,970,9188,5096,16255,416,1056,21685,780066,722685,10739,11707,5936,30415,673,0,0,622263,583327,6420,8939,4018,19984,398,0,0,632941,575094,10250,6283,3493,13436,161,1562,22662,775189,693374,15839,12081,7677,40336,1098,632941,575094,10250,8523,5383,28296,678
5,2,343852,125218,207359,404497,142568,253899,408933,145165,256679,306797,121576,177301,300194,104117,176778,307501,124940,171426,344710,115325,208273,596762,546680,16993,20551,3133,8661,142,18320,2205,4293,825,0,771970,689275,32728,31264,8408,14115,650,0,0,602361,550430,18075,20914,3495,9096,56,0,0,0,0,0,774803,688747,33583,31156,8292,14407,549,21792,5130,5012,74,1142,19308,764703,692405,27091,28084,6329,13437,574,0,0,587445,539868,15491,20023,4211,8974,344,0,0,607107,534840,23504,18875,3831,4301,117,1448,20191,775270,671477,36629,31678,8355,22510,824,607107,534840,23504,22814,5619,16110,500
2,3,360529,181391,167298,417450,209753,199473,420513,223658,188707,324919,165134,152326,317624,150700,151055,325909,170544,145255,360135,168697,167272,549321,440977,29270,61439,11071,5601,127,56027,9582,2207,1451,0,762581,556860,75410,103488,25782,11744,791,0,0,554715,442774,32015,61752,11489,5792,169,0,0,0,0,0,766438,553531,77506,105724,26826,11973,769,80446,20895,2430,189,2845,28603,720675,540548,64945,94550,18340,10124,829,0,0,535808,423481,37531,59594,12067,6594,495,0,0,595757,441136,52405,60788,17279,2190,144,1762,20053,775450,544205,82672,105043,29372,18408,1056,595757,441136,52405,69554,20474,12905,670
3,4,363255,159547,192680,420895,182226,230954,424278,195456,221024,326680,146864,172839,320386,133087,171955,327411,150982,166272,365276,149175,193162,566145,479844,28306,41408,10556,5562,162,36939,8595,1359,983,0,764012,608703,60674,69152,22429,11000,990,0,0,571455,482302,29808,42599,10883,5516,157,0,0,0,0,0,769327,607961,61991,69633,23316,10687,772,53719,15940,1711,161,2205,25639,730115,594800,49918,63453,17528,9130,712,0,0,548614,463897,29351,39781,11559,6080,428,0,0,596100,477390,41230,38960,13532,2116,161,2098,20613,775094,597044,65095,69908,23544,19046,927,596100,477390,41230,45577,16452,13331,617
4,5,335935,128522,197254,395431,147501,238979,401813,150406,244413,295479,120387,168087,289270,109347,164992,295855,123883,162082,345464,121126,205017,587325,528256,19054,28606,4878,5785,101,25544,3480,2225,776,0,766145,665009,37173,46549,10573,9732,581,0,0,587399,526784,19816,28889,5286,5949,60,0,0,0,0,0,765049,660200,38255,46999,11358,9552,696,33383,6602,2743,94,1301,22473,777118,685423,32789,43480,8661,9684,598,0,0,593341,534381,19479,28368,5715,6756,366,0,0,606678,521613,25647,26323,6405,2343,149,1697,22501,775613,649460,41014,48130,12300,20995,741,606678,521613,25647,31731,8421,15223,492
8,6,392225,240774,142394,450703,274275,169245,454770,285421,163382,356141,222591,128585,348220,209269,126049,356759,226462,122569,390641,226907,144729,549989,431588,18179,58818,36236,4496,147,54466,33192,1013,1115,0,744673,540999,31679,85105,82326,8781,745,0,0,555091,434329,18343,59256,37786,4580,153,0,0,0,0,0,747777,540848,31679,86581,84225,8654,735,72076,73676,1355,152,1395,26597,717322,541880,25953,82447,63219,7325,743,0,0,553179,430457,17156,56791,45409,5137,512,0,0,619480,441227,26975,60142,63177,1294,216,2569,23880,775233,533930,38514,92964,92827,14896,1016,619480,441227,26975,68279,69335,11202,730
6,7,387610,191407,185311,443571,218132,217861,447960,222734,217487,352592,180588,165608,345469,164474,165535,353629,187544,156112,387731,175016,189203,587139,509242,24142,34642,12711,6144,150,30630,10915,1580,1055,0,772139,638954,39698,57655,31862,10724,840,0,0,591739,511912,24925,35446,13203,5878,126,0,0,0,0,0,775235,637860,40811,58584,32418,9640,732,43599,26624,1981,172,1456,22734,745034,630056,34545,51948,23742,9330,778,0,0,571557,494359,21568,33561,17641,6345,493,0,0,611239,501372,29146,34643,19760,1892,231,2042,22153,775171,619296,43872,61100,31238,18161,1022,611239,501372,29146,41544,23051,13319,718
7,8,368962,188180,170288,424488,217325,199671,428858,215513,206863,329994,174497,148548,323271,157836,147864,330788,180770,140622,381809,183138,179105,600341,473489,23492,90843,5900,6736,52,86566,5059,1952,1015,0,779241,590925,37947,133946,12165,11035,805,0,0,599800,471682,24386,90895,6287,6345,103,0,0,0,0,0,776581,584259,39263,134489,12666,10823,945,117010,8528,2233,144,1871,23276,808513,618542,35134,139296,10759,10368,643,0,0,613747,487193,21363,93161,7359,7113,412,0,0,606377,462312,26899,84338,6916,1972,178,1836,21926,774883,568803,41464,132408,12559,18956,796,606377,462312,26899,91875,8999,14021,493
13,9,390991,138613,241833,459248,160702,290351,465945,160555,298614,347478,134649,206382,338202,118022,204226,347824,137911,199525,393161,121273,251620,587937,548370,13920,14150,6684,4303,66,12404,5332,1027,431,0,771174,702482,27311,22716,13024,7124,691,0,0,591325,549674,15468,14651,6546,4689,56,0,0,0,0,0,772315,698735,28977,23173,13292,7838,822,16144,8996,1143,399,1786,16136,755259,697846,23185,18930,9373,7549,458,0,0,567311,532056,13647,11436,5761,5040,271,0,0,607444,546111,19003,11847,7272,1623,113,1475,20000,774645,683856,29796,23290,14377,17222,569,607444,546111,19003,15069,9572,12429,360
12,10,358537,176787,172496,422295,206931,206590,428623,207407,215562,314681,165281,143870,306477,150104,142796,315261,166625,140146,367360,164506,186428,575579,464560,11036,72287,22603,4132,164,69104,20567,1531,1115,0,766133,588394,20635,106873,44666,7097,779,0,0,576979,461547,11536,74925,23873,4428,162,0,0,0,0,0,765688,580057,21385,110235,47186,7274,713,98667,41094,1806,279,1291,21106,746563,614620,16794,76378,33993,7156,854,0,0,579635,492469,10551,49197,23619,4711,591,0,0,620114,470529,15741,75777,33912,1294,107,1852,20902,775592,565489,23359,117590,51967,14070,768,620114,470529,15741,82119,38061,10481,530
11,11,404014,232643,161768,462498,265536,190604,466262,275747,184396,367360,215058,146858,358699,200891,142938,368364,219774,140199,404481,218514,165948,563503,437454,16073,73748,30693,4499,299,70190,27932,1619,1422,0,767321,550560,34906,103888,74160,8547,1069,0,0,567350,438459,17131,73309,32914,4362,324,0,0,0,0,0,767243,544110,35988,101838,77216,8051,991,88999,67717,1834,191,3561,24842,746242,564426,29262,94600,55283,6480,866,0,0,577499,451616,18481,65422,39149,4450,628,0,0,623129,448549,28164,68531,54791,1013,154,2311,19616,775060,538038,41836,101287,79718,12404,708,623129,448549,28164,75252,59473,9202,521
9,12,328498,245426,75681,379058,279837,90295,383184,285654,93182,291644,220161,66041,285836,211749,63536,292331,223529,62087,344686,251669,80867,552070,257998,10137,271093,7784,5192,167,266731,5606,1841,1276,0,756420,343780,20066,370408,18322,8648,747,0,0,549463,251980,12135,271093,8412,5961,116,0,0,0,0,0,752235,333472,22863,370878,19082,10227,519,352317,12787,2437,123,4710,23532,760977,360627,17964,364491,16289,7463,744,0,0,571471,281973,11540,264506,11522,5274,519,0,0,596443,271365,16448,273795,11268,1386,101,2624,19456,775605,341311,24354,380534,19632,12960,735,596443,271365,16448,285435,14939,9721,519
10,13,291717,216870,67838,338722,247065,82583,342064,253366,84651,256340,191315,59628,250723,183972,56182,256925,195059,55325,312374,230576,71639,558677,236270,31881,274836,10628,4642,213,271152,9345,1512,1107,0,773415,298027,73865,373771,25597,8427,757,0,0,559187,238072,32520,271850,11917,4453,298,0,0,0,0,0,772046,299164,73103,370138,27064,8215,896,355252,21651,1991,281,2628,17970,830784,305906,68039,436124,20090,10631,876,0,0,617435,245448,41933,314741,13711,7442,593,0,0,591793,237258,52233,261214,17120,1590,153,2448,19777,774526,289368,79978,368109,28362,16494,995,591793,237258,52233,273734,20661,12231,675