ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_Aud,Dem_2022_Aud,Rep_2022_Aud,Total_2022_SoS,Dem_2022_SoS,Rep_2022_SoS,Total_2022_SuprCt2,Dem_2022_SuprCt2,Rep_2022_SuprCt2,Total_2022_SuprCt1,Dem_2022_SuprCt1,Rep_2022_SuprCt1,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2022_SuprCtC,Dem_2022_SuprCtC,Rep_2022_SuprCtC,Total_2022_Gov,Dem_2022_Gov,Rep_2022_Gov,Total_2022_AG,Dem_2022_AG,Rep_2022_AG,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_Tres,Dem_2022_Tres,Rep_2022_Tres,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,327659,186218,138071,355885,196437,151834,281522,153240,128282,284093,151209,129507,283824,160250,123574,282811,158264,124547,284761,164954,119807,283661,160967,122694,285798,145032,140766,285093,153463,131630,284531,170277,114254,281874,153030,128844,406827,241022,159587,319257,184169,135088,320495,195834,124661,322395,178347,135188,382025,167490,199658,386687,211702,157703,572869,395217,9664,152755,10927,3149,313,146737,9279,481,1690,0,772539,491218,26319,226205,27312,5825,930,0,0,575411,395176,10746,153251,11574,3150,383,0,0,0,0,0,774363,487283,27406,227596,28477,5319,1138,206476,22086,572,548,3872,26120,762614,504064,20124,216157,19763,5582,1067,0,0,582909,404195,13035,149019,14635,3965,669,0,0,612532,395139,22452,151167,19919,856,397,2430,20172,786801,479213,35494,227082,31805,13599,1412,612532,395139,22452,160964,23702,9990,940
10,2,282009,76749,203390,300284,86848,207293,245742,60233,185509,247786,57595,187734,245947,64049,181898,246572,62903,183669,247107,61052,186055,247309,64314,182995,246021,54152,191869,248307,57069,191238,247304,71281,176023,246134,60186,185948,366747,95119,266785,256980,79559,177421,259311,97741,161570,261179,80473,173016,330684,83812,232084,335183,88121,233834,608910,576434,5247,18666,2598,5528,101,15546,1791,990,720,0,789339,738939,10205,27788,5990,7997,523,0,0,610044,576177,6020,18864,2602,5697,191,0,0,0,0,0,789136,735555,11234,28631,6045,8115,710,17995,3794,1083,309,1125,18039,795303,751409,8110,24652,4431,7433,443,0,0,605036,574562,4811,17535,2892,5604,271,0,0,610561,562602,7209,15673,2822,1515,104,1219,19417,786295,717876,11692,27926,6204,18745,711,610561,562602,7209,19470,4155,13962,442
8,3,261839,165728,93759,289506,183326,100202,216851,131722,85129,218455,127418,88630,217220,136722,80498,217418,135522,81896,217694,138121,79573,217851,137392,80459,218782,123560,95222,219062,127935,91127,218484,143249,75235,216342,131450,84892,345023,222894,116738,253859,162627,91232,255857,179034,76823,257065,167734,83386,310606,169918,126724,318535,197819,107351,541732,338150,15899,168261,13484,5524,233,158888,11921,1128,2322,0,774213,421973,48557,270053,32444,10362,1486,0,0,551648,340794,16593,174073,14407,5081,229,0,0,0,0,0,782887,420958,49983,276004,33575,9527,1378,248267,26846,1174,393,3488,31778,697528,411966,36286,229791,17851,8237,1272,0,0,515396,326093,21978,152755,12365,5673,711,0,0,590302,324889,38750,175032,23094,1232,188,2932,24185,785994,395452,61226,280721,38107,17862,1175,590302,324889,38750,190323,26761,13102,799
14,4,314221,98078,213596,328685,104959,215837,281164,78663,202501,283693,75343,205402,281358,85780,195578,282304,82848,199456,283558,81137,202421,283236,85020,198216,281480,72023,209457,284268,75150,209118,282895,94531,188364,281976,79923,202053,399443,124378,268510,285410,95729,189681,289369,117295,172074,290599,97322,184072,356276,92168,245836,359961,106727,235678,588507,539708,10291,28808,5149,4254,146,25436,3962,683,945,0,774493,693657,18456,46596,11813,7441,637,0,0,593261,541544,10770,29920,6210,4293,174,0,0,0,0,0,779103,693121,19407,47207,13541,6913,536,34692,9578,698,192,1649,19780,764661,698585,14014,38756,8783,5678,577,0,0,577847,534873,8410,25315,5749,3998,333,0,0,606901,535113,13099,28207,8914,1064,170,1679,18655,786566,679970,20919,49922,15926,16506,863,606901,535113,13099,32863,10820,11813,558
11,5,326057,78761,245093,342261,85403,249342,292621,58495,234126,293994,57948,233003,291635,64498,227137,292494,63497,228997,293163,69018,224145,293538,65538,228000,291932,51562,240370,294168,57737,236431,292929,75171,217758,291669,61025,230644,411183,98229,306743,296130,78335,217795,298962,103812,195150,300565,76935,213676,377490,72529,287456,381972,89066,275705,590254,550971,14643,17513,3242,3308,118,14578,2364,1212,644,0,778101,710603,26479,29802,7871,5338,781,0,0,589978,549805,15352,17567,3386,3550,113,0,0,0,0,0,776744,706583,27284,30142,7853,5669,1266,19144,4751,998,448,938,16589,789662,730594,22494,26364,6082,5249,545,0,0,593501,557589,13111,15681,3892,3712,322,0,0,602773,546727,17750,15053,3924,1086,487,1517,16229,786624,700570,28489,30962,8083,14926,1463,602773,546727,17750,19058,5448,10820,885
9,6,303079,94742,206248,322103,108709,205923,265718,75891,189827,268251,72244,193134,266227,79633,186594,266485,78208,188277,268535,72446,196089,267996,81342,186654,266784,66460,200324,268960,70968,197992,268713,88651,180062,265933,75272,190661,384078,112634,266051,277850,103672,174178,282169,124610,157559,282863,101093,172709,353670,105288,229234,361747,108678,237015,627726,595546,6065,17901,3309,4113,114,14683,2065,1346,856,0,797490,746690,11484,27873,7220,5767,762,0,0,627257,594255,6551,18222,3598,4164,99,0,0,0,0,0,795164,742159,11996,28481,7166,5650,682,17579,4539,1116,134,902,16737,815051,770673,8311,25061,5773,6513,615,0,0,636940,606401,5451,16738,4257,4774,428,0,0,623926,575595,8622,14649,3120,1247,106,1306,19281,786155,717550,13600,28179,6334,16806,640,623926,575595,8622,19313,4528,12481,421
12,7,333856,168676,162212,349884,176884,164789,291683,138672,153011,295868,135228,157705,293572,150566,143006,292484,147257,145227,292369,148671,143698,294683,152167,142516,298518,128840,169678,297691,137155,160536,299083,163101,135982,291410,139232,152178,420138,213649,201295,306199,167934,138265,312489,185487,127002,314289,163460,142009,368692,146925,201515,379901,184063,178867,593382,515785,29929,32497,11878,3063,149,29047,9659,1049,526,0,766563,641953,48526,54348,23845,6068,705,0,0,595572,513291,32026,34211,12444,3325,152,0,0,0,0,0,766252,633923,50911,56547,25216,5981,738,39970,18420,1283,164,1536,20047,769885,665566,38625,45733,18963,5429,653,0,0,599588,531120,23902,29272,13311,3680,398,0,0,631291,528786,35922,29202,15779,822,117,1690,18973,786449,639323,54237,54441,26081,13341,863,631291,528786,35922,36720,18937,9849,595
2,8,323210,106506,213588,335093,107312,220444,289338,88717,200621,291423,87392,201035,290511,95026,195485,290504,94024,196480,291833,96218,195615,291556,95428,196128,292079,80837,211242,292113,88138,203975,291637,105186,186451,289501,88363,201138,406924,141189,259639,290441,99398,191043,296336,112121,184215,296551,97104,190925,358533,82896,260569,364735,111986,236308,555530,496883,10374,31196,13305,3141,173,28605,12026,615,806,0,757518,644033,27346,50577,31973,5643,760,0,0,561632,499728,11621,32390,13837,3127,79,0,0,0,0,0,763945,643140,28329,53121,34794,5128,825,39190,29184,600,84,1622,21797,723800,635234,21653,41406,22030,4539,792,0,0,535756,479093,12878,26687,14445,3231,452,0,0,598671,495540,22456,32265,25451,908,450,1651,19950,786235,631837,36561,57003,41704,16824,1361,598671,495540,22456,37452,28734,12154,852
6,9,303317,149331,150774,327565,165503,153388,260119,117504,142615,262629,113491,146185,261370,124055,137315,260729,122854,137875,262580,147559,115021,262272,125260,137012,264381,102384,161997,263386,115108,148278,262780,136860,125920,260024,118152,141872,383714,190347,186771,283847,151932,131915,286655,172893,113762,288598,149797,128105,361183,151080,191810,368515,178881,168566,599072,484255,30504,73855,5876,4026,191,69271,4727,1293,756,0,782387,601593,51682,113208,14841,7560,921,0,0,599419,482708,31420,74354,6355,3858,203,0,0,0,0,0,781478,595984,53393,114581,15167,7657,1032,93302,10595,1641,218,2469,23871,794338,626335,44760,109042,12729,6881,567,0,0,609178,498752,26623,72084,9137,4898,387,0,0,615612,477148,34668,70827,8949,1081,158,1891,20890,785002,583098,54388,117702,15642,16295,718,615612,477148,34668,79696,11457,12008,481
3,10,313750,143518,167385,337714,153199,176788,272229,115067,157162,274259,113117,158049,273584,120788,152796,273245,120349,152896,273009,104553,168456,274314,123193,151121,275610,104589,171021,275012,113309,161703,274785,131595,143190,272140,116625,155515,391704,185461,199583,297142,139658,157484,299949,159977,139972,301114,136221,155634,368725,132825,219777,372979,166234,189341,592264,463084,11022,102272,9893,4804,184,96342,8045,1069,1771,0,778782,578311,23528,149107,23123,7962,1353,0,0,594557,463106,11899,103315,10426,4763,106,0,0,0,0,0,780793,575360,24318,150576,24179,7664,1719,130519,17250,1045,247,2568,29496,779870,592731,17667,146626,19056,7135,896,0,0,601588,471876,11160,101755,13469,5114,544,0,0,615724,452694,19286,100726,15123,1214,297,2455,23929,786331,556372,29643,155917,26418,17972,1435,615724,452694,19286,110350,19214,13381,959
13,11,274524,210017,63000,316732,243884,67414,212921,156823,56098,215848,155331,58680,213649,162175,51474,213911,161795,52116,215480,163887,51593,215712,165000,50712,218211,148248,69963,216787,155308,61479,217387,169376,48011,213192,156958,56234,358694,276342,78735,278815,222686,56129,281362,230971,50391,282543,217454,58978,343426,236123,91240,359583,279948,70102,593102,275404,34456,267641,11700,3605,149,261973,10563,979,1323,0,784301,328535,56326,373827,28741,9285,838,0,0,591973,274860,34921,266006,12240,3473,173,0,0,0,0,0,780158,324257,57011,371428,29040,9148,961,344939,22890,1038,187,5051,24784,807547,357383,47869,382522,23663,6615,824,0,0,616894,297420,30839,271694,17982,4736,576,0,0,620035,268223,42710,264766,21796,1050,124,2922,18444,787240,311735,61933,378926,32579,12288,1090,620035,268223,42710,280383,25025,9181,777
5,12,308906,110897,195466,322185,119137,194998,275347,89496,185851,278164,85488,189574,276065,98124,177941,276446,94939,181507,275933,98181,177752,277286,97444,179842,277000,81525,195475,278930,86955,191975,278153,107321,170832,275375,91228,184147,392490,140191,246458,278316,112731,165585,282544,127943,154601,284145,109687,164937,348777,103762,225083,354202,122922,214574,592847,548458,9216,26135,4713,3655,34,22487,3752,665,853,0,778393,703363,18253,42496,9913,6203,404,0,0,594452,548578,9808,26893,4709,3687,24,0,0,0,0,0,778847,700234,19080,43620,10215,6327,448,31096,6620,1022,37,1761,18999,773955,709371,14098,38725,7412,5496,524,0,0,583354,542852,8336,23945,4929,3837,321,0,0,608614,543625,13875,23460,5200,1024,154,1583,19693,786672,688700,22354,44925,10239,16227,796,608614,543625,13875,28718,6999,11695,530
15,13,331643,164809,164163,347509,174609,164671,291836,136457,155379,297674,131154,163494,293728,146548,147180,293630,143976,149654,294224,149885,144339,295797,148097,147700,296412,127240,169172,296445,133935,162510,298577,157398,141179,293287,137613,155674,414511,207811,200998,305475,163567,141908,311599,179255,132344,311152,161645,140083,368086,152844,194556,378554,183294,178891,607521,516769,8093,68793,9931,3519,58,64254,8478,1072,795,0,788695,641463,15401,101652,27133,5383,550,0,0,609267,516495,8794,68682,11359,3799,38,0,0,0,0,0,788039,635648,16105,102290,29033,6045,633,85775,24043,925,67,1372,24104,788382,658009,11807,96607,18557,5762,558,0,0,609054,520696,7437,65079,13036,4148,337,0,0,627294,504222,12078,65795,20096,934,152,1818,22199,788402,613420,18469,104584,32633,15518,824,627294,504222,12078,73046,23055,11512,536
4,14,328037,143044,182443,344143,158249,177977,288152,116193,171959,292719,110278,179498,290561,123124,167437,289796,123099,166697,292197,115991,176206,291653,126584,165069,293508,100146,193362,293007,110000,183007,294909,135386,159523,289135,116708,172427,409574,179229,225005,299522,146562,152960,303546,168028,135518,304271,146403,148734,371735,144075,207645,380573,166250,198609,614400,538353,17922,49450,4520,3492,45,46166,3443,859,928,0,786399,668188,32287,76919,9629,5441,958,0,0,612248,535231,18589,49247,4591,3348,109,0,0,0,0,0,782522,660307,33372,77128,10014,5802,1356,60564,6283,887,262,1357,19491,807130,698719,25418,73205,7886,5334,535,0,0,625347,553296,15567,48937,5492,3735,320,0,0,628328,531194,21787,47842,5419,805,122,1412,19747,788114,647518,34490,78201,10422,14990,739,628328,531194,21787,54160,7403,10786,517
7,15,349104,194517,150972,364067,195365,161262,315180,166043,149137,318103,162588,152752,316561,178046,138515,316591,175310,141281,317164,178941,138223,317684,179387,138297,319397,158891,160506,319168,165414,153754,319436,190106,129330,314710,166395,148315,429330,250670,171936,333886,178156,155730,335424,203507,131917,338133,186371,144373,374145,155173,205380,377046,198473,158461,542604,461466,14157,38054,24909,2908,58,34723,21803,798,1283,0,746184,586596,28566,64246,64500,4882,1198,0,0,548623,463113,15047,39007,26865,2889,49,0,0,0,0,0,755844,586858,30110,66558,69816,4717,1556,52904,59722,819,77,1214,24129,666068,548152,23425,46918,45298,4236,657,0,0,512790,431190,15375,31336,32925,2932,428,0,0,614998,477395,25364,39238,49314,658,207,2338,20484,786568,591501,37813,68001,75126,12490,1091,614998,477395,25364,46468,54886,8844,780