ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Gov,Dem_2014_Gov,Rep_2014_Gov,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,334763,207408,119127,382151,254340,123306,390999,257097,124679,292531,189186,92815,289299,206200,82779,289728,111887,177206,368605,225382,114502,217502,121497,93466,228969,154519,74450,602390,466422,84274,34001,13622,3437,123,30407,11582,1093,1123,0,777512,560094,133241,62003,28104,6333,1609,0,0,605007,464434,87295,34947,14113,3193,165,0,0,0,0,0,776060,554426,136110,63249,28396,6773,1566,42573,22364,1005,352,1432,17798,776909,590494,109959,59445,22476,7581,1327,0,0,611056,487321,68916,39720,16675,5348,864,0,0,632795,456671,96458,34634,21383,943,212,2603,19891,780674,534706,141429,68456,32639,14649,1541,632795,456671,96458,48282,25652,11056,1096
2,2,325340,162075,154075,382772,215315,161693,389353,214894,164033,278811,138185,128605,276852,165254,111459,276466,66735,208831,351766,171815,149701,216539,85327,129179,219846,115040,104805,565442,470383,52877,22068,16593,2679,177,19903,15094,884,760,0,752246,583182,89071,49440,32663,6105,961,0,0,568615,470441,54845,23407,16675,2674,208,0,0,0,0,0,753521,580439,91436,50880,32290,6119,900,34420,26380,891,274,2030,17647,729427,592855,71600,39013,25594,5693,826,0,0,561871,471846,45457,25065,17823,3943,530,0,0,623386,470045,72339,30879,23333,913,140,4828,20909,781025,563647,105964,60767,35554,12982,1192,623386,470045,72339,41401,26721,9602,856
9,3,396266,233887,153388,453579,300930,149386,461144,303060,147755,352098,206493,132686,349355,243394,105775,346679,105172,240460,419162,244594,144287,278154,127438,148935,280065,170434,109630,556660,476909,18290,18681,40581,1806,150,16686,37756,365,621,0,769634,607394,31603,36872,90537,3923,870,0,0,556575,472179,19760,18793,43619,1823,169,0,0,0,0,0,770611,598798,34025,36072,97692,3509,809,28039,86294,560,165,3125,19608,724973,607751,23382,26565,63217,3083,617,0,0,558438,476480,15636,18503,44374,2097,404,0,0,621323,477630,26765,21785,69520,470,110,5433,19610,781035,582080,38652,38086,101586,6591,727,621323,477630,26765,27221,73958,4843,538
3,4,306802,160979,139228,364960,213181,148873,374643,210370,156272,257838,134409,114733,254559,157621,96807,253864,74503,178762,338698,175924,139923,191945,89603,100435,193742,114419,79323,557751,466716,30431,45942,10531,3816,245,42518,9096,728,687,0,751461,571694,57785,82065,19453,5694,1161,0,0,560767,465238,31668,48811,10684,4213,210,0,0,0,0,0,754591,565756,61027,88426,19671,6995,1348,64748,15669,779,246,18528,27837,732592,594216,43997,61570,16159,6559,1534,0,0,565774,474171,27341,40416,10970,4591,1088,0,0,619819,465692,45961,45139,13353,1035,120,12496,36023,781260,560139,70265,104586,21951,11459,1168,619819,465692,45961,72466,15888,8160,843
8,5,333383,258795,67773,368669,306418,60682,374063,310815,55253,303352,242386,51776,300145,257986,41874,301474,156602,144119,354367,278707,53078,209209,137482,70575,209708,165401,44308,558508,425528,39712,31025,58259,2575,408,27635,52271,859,1307,0,760499,513993,71460,55786,121247,5183,1298,0,0,563889,427207,39110,32963,60542,2708,406,0,0,0,0,0,763940,511185,70282,57498,126637,5614,1457,41294,109157,1070,442,3883,26629,716595,512418,54183,49605,96587,4402,1125,0,0,620758,454728,42416,38224,81437,3434,929,0,0,675928,445650,55089,35831,106793,607,244,6591,25123,779777,500563,69740,58087,138415,7103,1201,675928,445650,55089,46591,117038,5577,969
5,6,335992,194456,133817,389221,252001,134285,396418,252869,134717,292567,169157,111588,290442,199604,90725,288790,82312,205803,363039,210968,125762,228092,101077,125380,228382,134738,93644,547546,428242,75320,15111,26209,1968,133,12817,24579,821,665,0,759560,533669,142047,40424,50020,4434,1371,0,0,553467,429632,77964,16691,26110,2033,162,0,0,0,0,0,763204,531134,146018,43768,50412,4981,1480,23753,43154,830,220,2064,16033,718647,540063,111034,29988,42270,5374,1224,0,0,550876,431500,72459,20049,29177,3769,866,0,0,618982,427477,112921,18949,36139,564,133,5388,17411,782048,512133,161227,49900,54530,10265,1340,618982,427477,112921,34834,39713,7579,978
7,7,268991,196893,67573,313220,247710,63731,322160,247717,68924,229788,172439,51138,225242,185213,39688,227491,104663,122096,297934,223629,59866,173562,112725,59677,167682,131053,36630,493576,238609,90894,126927,33825,2653,155,122925,32410,962,1169,0,772324,287756,213762,250620,66233,7553,1139,0,0,502480,242054,94683,128021,34358,2838,155,0,0,0,0,0,776586,289304,217163,250753,66680,8704,1668,181592,58697,1347,215,6816,21444,702924,295182,165483,194755,52841,8540,2228,0,0,546659,254963,112642,139653,40540,5970,1609,0,0,623344,246915,156984,124670,54134,903,167,11021,28550,781541,281485,219863,212518,72127,13648,1513,623344,246915,156984,160771,58980,10339,1197
6,8,381913,225047,147624,439794,288614,148323,446244,299857,135354,337242,196399,128906,334951,233171,101616,334133,92338,240941,402955,240018,130380,265335,111356,152359,266166,148872,117294,532126,454610,24875,19647,30250,2113,118,17950,28239,759,772,0,759970,598670,49491,36750,67827,3464,900,0,0,536684,456287,25133,20718,31698,1907,108,0,0,0,0,0,764011,591779,49259,40615,74016,3622,849,29175,63794,669,107,8926,20305,718758,603279,32276,25318,47213,3155,674,0,0,539141,459406,21616,17554,31884,2099,480,0,0,607145,461231,35282,21764,51242,479,123,12157,24867,781396,573751,52141,40667,79513,7447,773,607145,461231,35282,28774,55265,5474,561
4,9,407797,215041,184022,469530,279143,187403,476135,285364,180132,362599,184588,166838,359798,225584,134035,355734,91515,262910,428225,224013,173259,284938,117903,164567,287334,155468,131866,578510,526863,10971,16171,20281,3516,168,13906,18902,1434,791,0,747347,647087,20719,29662,40515,5839,1046,0,0,583401,527978,12704,16808,21360,3715,338,0,0,0,0,0,750479,642201,22820,31052,42615,5851,1516,20694,37322,1792,306,7179,18168,726804,648542,15740,22154,27854,6318,702,0,0,574133,519043,10292,14762,20211,4354,473,0,0,641001,537674,19709,17814,31845,1516,142,8084,24217,781161,640393,28404,36799,46169,9896,981,641001,537674,19709,25973,34905,7306,747