ID,Label,Total_2016-2021_Comp,Dem_2016-2021_Comp,Rep_2016-2021_Comp,Total_2021_Gov,Dem_2021_Gov,Rep_2021_Gov,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2017_Gov,Dem_2017_Gov,Rep_2017_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,320458,193331,121719,236208,136291,98157,406944,254287,147709,413055,258133,149480,284955,164107,110679,187788,119098,64847,349428,211193,126446,552888,383599,52842,87725,25721,2013,80,84026,24265,260,1466,0,744730,473748,98664,133057,47028,5340,811,0,0,552702,380076,55933,88392,25452,2125,75,0,0,0,0,0,744808,467692,102756,134054,48695,5469,820,111751,41412,419,108,3047,17625,755158,506929,84245,129619,41178,6084,921,0,0,575659,404238,54673,89540,29636,4195,629,0,0,603838,383718,74908,89319,35572,766,155,2494,16906,771974,463613,113221,142352,53674,13230,1413,603838,383718,74908,102822,39767,9390,997,773710,463973,113534,142804,53715,13239,1415
4,2,310624,144238,160542,235552,98319,135472,391026,192502,189525,401664,197452,198841,269028,119355,139644,190995,99997,85971,335745,159512,164876,560069,400983,59024,77080,18543,4011,133,72806,17438,1640,1313,0,757232,491305,121122,116089,35037,8010,1368,0,0,558915,398021,60262,77350,19125,3758,133,0,0,0,0,0,753464,484668,122492,116428,34430,7870,821,95220,27963,2149,141,1351,19477,773159,519203,107618,119718,32375,8799,895,0,0,592397,417418,70197,83194,23204,6131,575,0,0,614532,403058,90525,74800,24403,1457,132,2130,18027,779252,482210,134333,122504,36833,16904,1573,614532,403058,90525,87609,27713,12179,1065,773828,481035,133174,119168,36833,16874,1567
6,3,307698,185098,117058,231208,132384,97116,381563,238038,137991,389585,246239,137865,280962,160301,110581,196526,115279,77412,335341,201330,121706,534251,340522,49604,104214,35947,2289,138,100218,34082,435,2084,0,747427,420594,104482,156468,73365,6544,1066,0,0,537973,339148,53388,105231,36173,2336,120,0,0,0,0,0,747955,416688,105733,157674,74022,6676,1115,137370,65093,546,145,1802,20572,745523,452395,88600,153049,57020,6323,1409,0,0,572753,362516,61789,110185,40397,4475,994,0,0,614718,336577,89521,109827,55827,750,257,3305,18654,779867,401533,128839,164063,83348,13295,1430,614718,336577,89521,123716,61032,9682,1064,773534,399889,127668,160028,83269,13269,1421
7,4,329803,113712,210734,266434,86202,178389,407955,148511,252326,421746,153190,263114,279020,95901,174697,195784,70885,120787,341312,112555,218220,534044,466607,34032,18340,12488,1780,185,16827,11250,311,861,0,728340,605202,71731,30695,22066,3816,1089,0,0,537971,465906,38110,18415,13153,1716,105,0,0,0,0,0,732950,605138,74345,31437,22292,4010,824,22260,17776,399,282,1823,10926,710119,602603,60981,28044,18956,3571,556,0,0,540967,468144,40209,18777,13425,2535,380,0,0,589071,483059,56943,17887,14544,494,108,2621,13415,773082,620935,84964,32343,23194,10317,680,589071,483059,56943,22899,17444,7538,464,773725,621270,85037,33007,23239,10331,685
12,5,294261,171188,118628,208860,115280,92384,374972,225700,142704,385130,229370,151695,264995,153176,104415,174251,104455,66898,326086,188436,128281,507483,300914,92931,36260,75190,1354,129,34078,73285,757,998,0,749128,389656,163074,61622,144550,4240,970,0,0,511190,299087,95581,36608,77790,1390,134,0,0,0,0,0,749400,383589,164961,64470,147628,4624,999,45873,136903,944,163,2640,14324,728628,422397,129731,55909,126660,4267,1030,0,0,567058,340201,93473,41153,95588,2966,800,0,0,612126,312928,132849,37775,112730,445,89,3771,11539,773262,379644,180275,65990,152533,9553,1138,612126,312928,132849,50406,118260,7041,875,773689,379799,180390,66042,152549,9552,1138
2,6,334489,157045,171553,262094,112131,147733,416235,204922,202882,423726,212486,205783,290535,133694,147668,204709,93780,106965,355808,166640,177900,541878,407086,61981,38978,31714,1391,114,37337,30550,378,805,0,746779,511339,119638,66000,56246,3953,577,0,0,547996,408391,63277,40185,33875,1336,173,0,0,0,0,0,744924,508286,117363,67044,58684,3889,978,51149,51510,359,177,1763,14314,749423,525759,108033,65222,53700,4843,936,0,0,575044,417284,74311,46069,38439,3454,662,0,0,615332,412013,97252,40702,44918,471,110,4233,15633,772193,494894,137910,68317,64591,10007,1013,615332,412013,97252,51005,49000,7304,775,773306,495241,138112,69179,64654,10009,1015
3,7,372899,153962,210984,294928,113096,179156,458923,203329,245889,469358,212287,248803,332510,128391,191691,230929,92034,132910,391918,154231,221679,568998,484128,44039,17076,21234,2120,134,15558,19726,617,604,0,759665,606205,85372,28985,39812,4731,734,0,0,571540,483500,45317,18357,21648,2150,120,0,0,0,0,0,758280,600318,85765,30824,40838,4720,804,21833,33468,877,138,1822,14060,771349,643509,69182,23898,34406,4233,595,0,0,586035,497318,48003,16254,23727,2945,395,0,0,619263,485440,70930,16397,28137,664,71,2356,15268,773629,586647,100712,31741,44023,10598,744,619263,485440,70930,22279,32007,7743,513,772939,586608,100616,31347,44027,10603,745
1,8,205519,147627,53922,133487,94312,37872,263653,189075,67521,274213,193920,77306,189539,140364,43807,120735,94141,24205,239894,173789,59008,427157,171504,154957,52880,45344,1690,204,50798,43904,802,931,0,716015,221546,300184,94670,115184,6470,1398,0,0,433661,170602,159991,53333,47019,1679,279,0,0,0,0,0,718443,220055,298544,97609,119684,7539,1302,71313,108043,1021,370,3985,15115,677923,226184,275963,94279,95595,8026,1648,0,0,538494,193842,206571,69237,78008,5863,1266,0,0,621407,199781,234713,57583,106614,715,208,6905,14888,772474,234389,305807,101146,137982,16323,1855,621407,199781,234713,77708,112871,12453,1465,773526,234520,306093,101251,138014,16325,1854
11,9,287704,155094,127981,205703,100773,103584,364877,206916,150353,373829,209037,160637,258469,135692,115490,167359,90948,73729,320592,177200,134429,489175,293496,111959,42513,39607,1088,192,41638,37427,311,646,0,740088,377489,224784,68848,76882,3636,957,0,0,483306,287270,112711,41976,39696,1007,153,0,0,0,0,0,738932,367397,229514,68750,79117,3374,783,55739,71218,443,170,2310,12144,736041,406567,198340,75613,66917,6482,1273,0,0,553206,319128,138009,54580,48721,4484,974,0,0,596292,300947,175510,45082,61401,502,68,2638,10144,771816,369794,242807,78357,88744,12797,1132,596292,300947,175510,58929,66073,9092,829,773187,369959,243215,78437,88753,12792,1130
10,10,288831,177536,106789,207968,119661,86737,361436,229790,126554,368644,238019,126244,271248,160027,103868,178440,106495,68286,318419,197893,110385,485401,277836,91185,82337,31788,1607,14,80679,30078,393,1013,0,743532,357434,196968,125466,62091,4774,837,0,0,486853,273714,94977,82977,32891,1451,24,0,0,0,0,0,744965,352662,198966,127749,66235,5108,759,111071,57126,535,36,10317,14253,724585,390990,165957,123835,50198,5253,1024,0,0,545211,304086,119690,89611,35442,3724,764,0,0,593914,278891,158547,88599,47892,425,100,4652,14808,772728,345474,218405,134092,73212,11902,1117,593914,278891,158547,102131,52217,8589,823,773820,345629,218639,134496,73218,11899,1116
9,11,224598,182480,39165,146768,116391,29417,282887,232360,46291,291774,236838,52496,214184,174416,34678,138652,117060,19384,266896,218402,42870,458733,134135,88773,214779,17703,2100,89,212533,16784,739,1612,0,711164,176399,178576,331766,32543,4734,1251,0,0,461896,135164,89865,215800,17753,2051,189,0,0,0,0,0,714527,176012,180915,333933,32153,5092,1097,307946,26211,1246,161,7174,14861,700653,188111,155433,335842,29708,6849,1611,0,0,527925,153037,110804,245171,22538,4867,1230,0,0,594055,140192,148116,250629,23667,922,118,8528,21883,774178,169943,204659,367235,35876,12289,1418,594055,140192,148116,277934,27507,9090,1093,773894,169554,204392,365638,35892,12314,1425
8,12,260350,166583,88828,185676,114631,69168,329969,215748,107307,336629,221364,111010,233865,146230,80137,161275,98943,58212,292607,187097,96133,472218,234061,64995,68934,101326,1916,227,67268,99575,683,1214,0,734403,285463,130141,104623,219007,5151,938,0,0,472298,227941,66840,68238,105711,2195,184,0,0,0,0,0,736770,276302,133724,105462,225220,6478,1074,89609,214845,1352,231,4274,16440,719333,330231,111061,95335,188450,5986,1101,0,0,551931,272354,76414,68824,137331,3891,792,0,0,606762,229792,106185,68347,184904,598,170,4424,12342,774539,267305,150643,105632,252722,10662,1108,606762,229792,106185,80384,189987,7556,839,773858,267081,150467,104995,252703,10658,1108