ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_SuprCt3,Dem_2022_SuprCt3,Rep_2022_SuprCt3,Total_2022_SuprCt5,Dem_2022_SuprCt5,Rep_2022_SuprCt5,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2020_Tres,Dem_2020_Tres,Rep_2020_Tres,Total_2020_SoS,Dem_2020_SoS,Rep_2020_SoS,Total_2020_LtG,Dem_2020_LtG,Rep_2020_LtG,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Aud,Dem_2020_Aud,Rep_2020_Aud,Total_2016_LtG,Dem_2016_LtG,Rep_2016_LtG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,357852,193977,158627,374274,204416,164052,251591,127626,123965,251439,127333,124106,253101,126487,121944,251739,131832,119907,377724,200850,176874,380454,219246,161208,381913,205672,176241,386342,218080,164293,380917,214134,166783,387123,207292,175723,383917,203509,166678,379446,222588,156858,349857,189492,154053,354162,189848,155985,355665,196882,154375,347786,199823,147963,357413,193582,154722,234159,128347,98787,586042,305159,16416,252518,4495,7082,345,248249,3544,4314,1640,0,770843,369139,50880,336175,10199,12784,1379,0,0,588368,305313,17101,253844,4460,7226,389,0,0,0,0,0,773070,368134,52220,336118,11232,13033,1490,319585,6846,5123,522,1140,19509,775075,380964,44723,336375,8500,10307,767,0,0,595227,310088,27317,247685,6079,7436,497,0,0,587620,288673,37801,234567,5692,4076,180,1876,14755,745697,345917,58469,320295,10618,17179,1079,587620,288673,37801,244459,7824,12818,762
10,2,376323,247384,119771,387546,251218,126402,281880,189019,92861,281255,188096,93159,283658,187665,89037,282339,190740,91599,396800,250451,146349,399450,273655,125795,402095,263985,138110,407608,281098,119863,401890,271044,130846,409069,271343,129819,406035,255139,133523,397707,272143,125564,345647,205030,129514,350529,210408,129298,351790,226282,117867,342481,222667,119814,352509,218342,115389,218774,131484,80861,512339,326934,24745,134879,20975,4520,262,131227,18678,1436,1470,0,728805,405467,82992,196143,45728,8647,1039,0,0,525937,333966,28744,136166,21842,4871,249,0,0,0,0,0,737642,408508,84413,199396,46772,9386,964,179932,40573,1589,251,2274,20107,625473,357429,69107,165635,34479,7351,859,0,0,473707,288231,44026,116206,24990,4931,568,0,0,582570,329837,64003,129255,36468,1497,243,2793,18474,745574,397510,96352,189194,55383,14819,1221,582570,329837,64003,140332,41627,10755,833
13,3,368035,140073,221556,379218,144857,227323,276204,96896,179308,276310,97937,178373,278022,96969,174910,276659,97263,179396,385481,146001,239480,388654,161405,227249,391464,147540,243924,397694,160657,232188,389489,154072,235417,399100,150712,243482,394831,146333,232065,387631,161365,226266,342405,127923,206551,347028,126945,209314,348918,133312,209901,338580,137770,200810,351841,129942,211256,229749,91220,130036,566649,401890,21868,131719,4982,5909,315,128631,3913,2640,1116,0,766362,492277,80164,179378,11899,9658,1237,0,0,572341,404476,24238,131254,5469,6293,355,0,0,0,0,0,771337,492560,82581,179989,12393,10633,1667,165706,7513,3181,436,1233,18135,759301,497005,67442,182152,8668,8493,1225,0,0,581198,398491,40568,132742,5704,6000,758,0,0,585314,390108,49093,119554,5705,2565,373,1612,16304,745504,473299,78655,167840,12072,17753,1453,585314,390108,49093,126446,8225,12869,1028
9,4,383774,254742,121856,393938,259036,127056,298725,200955,97770,298547,200605,97942,300371,200413,94128,299254,199241,99939,401909,258837,143072,404422,275656,128766,406858,267956,138902,411826,283011,123656,406135,273851,132284,412674,273897,132726,410027,263272,132531,402954,273735,129219,356203,221798,124890,361655,226520,125626,362445,239837,116296,353826,236713,117113,364057,233792,115158,226357,143682,76624,518679,333525,20376,142784,17172,4532,170,138746,15440,1845,1355,0,717457,408559,78605,192294,35948,7604,788,0,0,530711,338992,22862,144989,18582,4739,206,0,0,0,0,0,729212,412969,80499,194633,38214,8253,1268,180041,30947,1782,272,2206,20492,650268,380287,67212,173337,28135,7431,744,0,0,502361,308973,42566,127903,21233,5121,474,0,0,591851,338102,62486,140210,28251,1648,175,2451,18528,745800,404353,95459,194128,42061,17161,1004,591851,338102,62486,149801,32804,12549,691
6,5,379301,123373,248335,390490,125825,255903,285248,88247,197001,285188,89987,195201,286771,88485,191651,286010,87048,198472,399420,126828,272592,400786,139446,261340,403966,127659,276307,409902,148054,256812,403581,135676,267905,410936,130079,275756,407188,128812,259416,399425,136403,263022,349840,104255,236598,355919,104360,237115,357354,124233,225272,347387,124713,222674,358836,107073,238413,226321,75320,139355,571940,490664,17208,53066,6553,3910,332,51327,6019,1962,525,0,750177,603402,54457,74358,14456,6787,1403,0,0,575022,493649,18217,52442,6095,3883,391,0,0,0,0,0,752652,601932,56550,74741,14674,7413,1645,64433,11881,2039,483,2003,13325,739626,608631,48270,68796,10700,5523,617,0,0,570293,483381,28439,48937,6806,3990,365,0,0,592889,474399,39861,50937,8905,1427,161,1361,15838,746298,576940,62871,76614,15465,16800,830,592889,474399,39861,56164,10615,12664,541
3,6,380375,184981,186722,388990,184435,194687,284570,138607,145963,284360,139591,144769,286146,140658,139285,285433,141702,143731,402197,184107,218090,405704,203559,202145,409160,196866,212294,415851,215545,193749,408726,203161,205565,418007,209762,201222,414548,190728,206406,403644,201505,202139,332786,131799,190394,338437,137720,187120,340353,155226,176866,329975,151078,178897,341608,149989,174145,190676,77798,106796,490938,375820,24991,68419,17586,3268,189,66014,15801,1597,935,0,709191,493239,66254,103348,44072,6033,791,0,0,498828,379452,27262,69149,18876,3361,147,0,0,0,0,0,717040,495167,67457,104008,47531,6635,758,92066,40383,1699,203,2561,17509,606865,450394,51981,78628,24239,4958,632,0,0,443135,340101,32492,52604,16345,3305,384,0,0,560965,380108,53713,72173,33712,1307,245,2505,17202,745948,482525,82031,113439,56629,14437,1045,560965,380108,53713,80399,37545,10313,705
14,7,358312,147202,203040,364281,148544,206697,276980,110456,166524,276795,110302,166493,278749,111110,161115,277897,109846,168051,374942,151579,223363,379108,165426,213682,382358,155955,226403,390076,171150,212101,381510,162638,218872,392308,160122,225918,387579,153150,213986,376615,162123,214492,310949,118964,181878,317148,120102,183467,318551,133407,177251,308042,135676,172366,322350,124135,185792,192019,80762,101370,576917,436731,27951,94758,7290,8865,384,90238,5619,4657,2165,0,743990,533422,57070,133667,14427,14563,2057,0,0,590910,448025,29357,96116,7549,8892,472,0,0,0,0,0,757817,542918,58937,133674,14284,14453,1729,116630,8446,5229,624,1403,23617,670993,480419,46397,126889,10933,11776,1671,0,0,522721,388915,29661,91045,7530,8251,1062,0,0,597442,432572,45176,82923,8109,4560,856,2053,21193,745139,518797,67377,122613,17018,22730,2755,597442,432572,45176,91394,12142,16594,1847
8,8,308268,151658,150554,321760,159278,155674,206799,95835,110964,206650,94973,111677,208608,94943,109052,207791,96142,111649,328018,158909,169109,330611,173228,157383,332452,164095,168357,338420,176576,156304,331474,169062,162412,340323,164536,170986,335962,158711,161660,329236,170268,158968,286732,141436,137176,291817,141683,140727,293271,144832,142690,284462,152098,132364,296517,144614,141891,182843,92643,83822,560461,284215,33923,176527,9644,54265,698,171982,7889,49819,2418,0,768938,354025,79394,251374,19642,78124,2980,0,0,563482,283075,36339,177303,9680,55069,879,0,0,0,0,0,771717,350509,82306,252667,20195,78173,3445,229456,12461,66394,1407,2736,26445,742195,356399,66063,240073,15646,76049,2952,0,0,548858,283496,40214,167548,10776,52067,1739,0,0,569502,269968,53203,167251,10646,42996,1181,2455,21802,745543,330391,82069,247725,20875,79523,3713,569502,269968,53203,181142,14871,57177,2369
7,9,360557,102601,250935,371085,105211,257521,264517,69347,195170,264479,69446,195033,265580,69033,190727,264486,67970,196487,383168,108716,274452,385122,117558,267564,387925,107649,280276,392757,124064,263553,386759,115872,270887,394005,109191,279669,390766,107996,264310,384239,115561,268678,326463,84621,232955,331616,86253,230207,333093,102742,222198,324389,102004,222385,334880,87160,236499,199464,58882,130656,534558,448212,16447,58794,6318,4870,39,56373,5427,1370,621,0,721295,559898,60063,84031,14133,8564,316,0,0,540006,450413,17983,60278,6374,4833,39,0,0,0,0,0,728775,561324,62844,85697,15132,9505,469,74998,11374,1540,62,1077,15553,700468,555249,52004,78644,10739,6537,511,0,0,530549,434991,30239,55255,6964,4555,320,0,0,581072,448674,44511,58812,8926,2114,150,1352,16533,745636,552999,71349,88836,15563,18633,793,581072,448674,44511,63782,10582,13727,517
5,10,348810,212846,128877,364536,221405,135192,244494,143642,100852,244095,143620,100475,245919,144348,96215,245289,145960,96984,368870,221704,147166,369923,234610,135313,373255,227346,145909,377167,241888,129154,372704,232162,140542,379667,232990,141150,376363,223099,137510,368916,232978,135938,335265,193257,132321,340692,195623,134758,341354,210762,123201,333479,206402,127077,343975,202787,127843,213302,121746,86308,522014,290120,23027,190332,13290,4946,217,186015,12303,2170,1547,0,730161,351969,77572,266477,32905,9882,1561,0,0,529709,290795,25436,193878,14180,4879,191,0,0,0,0,0,736680,351066,78687,272144,34903,9516,1355,252071,31016,2422,328,2834,18265,679929,351688,65710,237446,24916,8033,957,0,0,517521,288046,39482,171767,17166,5487,594,0,0,581305,288219,57498,189655,23783,2019,238,2464,17429,745710,341685,90514,269317,37184,17424,1146,581305,288219,57498,201961,26766,12599,777
1,11,405387,185119,210837,413267,186690,216032,322431,149700,172731,322564,152682,169882,324247,149133,166556,323866,148693,170147,422112,188469,233643,425098,203260,221838,428815,195122,233693,434645,210679,216911,427469,201070,226399,436682,199138,230478,432604,192652,221578,423464,200829,222635,366781,156474,196548,372982,159206,198220,374705,177197,186097,363345,171306,192039,378047,156087,202991,240828,109513,120339,578600,525180,14392,21870,4694,11796,218,20372,3691,8740,600,0,729797,628270,44185,32045,9402,17378,896,0,0,587262,531084,15622,22372,5296,12141,233,0,0,0,0,0,737301,633241,45766,32432,9987,17428,1010,25841,7129,10993,443,1077,12813,691891,603897,37768,28307,7107,16427,965,0,0,557415,498347,23692,19724,4983,11461,592,0,0,612691,517674,38482,19897,5979,7765,511,2221,20162,745568,612534,57071,33398,11788,28884,2069,612691,517674,38482,24278,8586,21227,1436
2,12,315865,226720,81718,328906,234133,86276,208605,149962,58643,208556,149884,58672,209318,149834,54735,209006,151493,57513,342126,238224,103902,344316,254111,90205,346220,251311,94909,350199,258363,84565,345604,252820,92784,351909,255577,90436,349096,240878,91254,343002,251596,91406,283500,189991,83485,287608,194511,82306,288680,203652,77282,281499,202107,79392,291471,202921,76004,149832,104637,41373,469546,203394,29433,215269,16578,4270,136,210109,15227,1426,1820,0,711601,249797,110638,308541,43438,8756,1421,0,0,486275,207464,32521,223314,18322,4240,125,0,0,0,0,0,731131,252529,114308,318926,45821,8257,1320,299697,41012,1527,360,2993,18706,607454,233610,86640,257457,31504,7655,1206,0,0,450238,190546,55756,181043,23017,5163,792,0,0,573035,213737,87528,215583,34079,1542,292,3264,17010,745575,253342,131498,307004,50767,15930,1227,573035,213737,87528,229899,37962,11527,865
11,13,365087,179297,177362,368434,177560,181869,289323,147083,142240,288932,145922,143010,291092,145416,138926,289154,148997,140157,386871,182966,203905,389864,203490,186374,392741,190802,201939,399127,210128,182899,391807,198254,193553,400371,196739,196503,397233,185375,193417,388463,201534,186929,307604,132394,166274,312054,135425,165963,313276,148768,157631,304858,146793,158065,314121,139838,159105,190594,84872,99133,465377,342593,26283,73386,18064,4400,214,70711,16609,2318,921,0,681291,453141,73078,107427,44623,8275,1699,0,0,480765,350208,29506,75480,20492,4392,302,0,0,0,0,0,700124,458809,75527,111109,50770,8246,1788,96557,42900,2845,469,4689,18320,568053,394045,57575,89339,24491,7600,871,0,0,408338,294964,33893,61527,15521,4779,464,0,0,549253,361379,55136,73093,37509,2074,346,2314,17402,745596,466000,89170,113742,63323,17903,1716,549253,361379,55136,80675,41344,12295,1030
4,14,358696,114783,237167,369281,117765,243480,261321,79273,182048,261382,82442,178940,262544,79537,177304,262018,78170,183092,379953,119189,260764,382385,130723,251662,384661,121307,263354,390926,135298,250523,384883,129388,255495,392392,122720,264863,388567,120124,251226,381029,127354,253675,325280,95746,220853,329254,99364,215242,331325,111825,211924,322295,114269,208026,333703,98844,223402,200995,69396,121375,561010,464922,16289,67454,7541,4169,244,64785,7003,1785,661,0,734968,572083,47313,94976,15035,7051,713,0,0,566934,467295,17268,68646,8367,4489,317,0,0,0,0,0,741729,573626,48956,97208,15946,7711,991,85610,13659,1860,389,2109,15518,717892,573978,39228,88378,12528,5942,797,0,0,552287,455755,23985,61529,7966,4275,488,0,0,589590,456183,35820,66659,9838,1745,193,1392,17760,745800,555856,55711,100408,16703,19103,906,589590,456183,35820,72320,11512,14245,610