ID,Label,Total_2016-2021_Comp,Dem_2016-2021_Comp,Rep_2016-2021_Comp,Total_2021_AG,Dem_2021_AG,Rep_2021_AG,Total_2021_Gov,Dem_2021_Gov,Rep_2021_Gov,Total_2021_LtG,Dem_2021_LtG,Rep_2021_LtG,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2017_LtG,Dem_2017_LtG,Rep_2017_LtG,Total_2017_Gov,Dem_2017_Gov,Rep_2017_Gov,Total_2017_AG,Dem_2017_AG,Rep_2017_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,406082,190442,208394,374349,167183,206851,375678,165255,207316,374016,166362,207272,454088,224782,228875,459667,221350,229467,362354,185584,169019,290762,133648,156815,292062,138202,150390,290665,133913,156468,414798,179292,209075,574044,446994,15704,86321,19613,4501,103,83228,17152,1180,1548,0,755654,558073,32177,116647,45433,7455,963,0,0,580391,451958,17114,85372,20603,4089,116,0,0,0,0,0,765125,562699,34195,116054,47719,7067,1036,102669,39750,1208,169,2365,22071,707120,538982,24689,107431,32553,6910,798,0,0,549584,426960,16498,80037,23080,4872,506,0,0,622116,455403,26721,83542,31206,1775,236,2435,20798,783857,557463,40113,119269,51519,15696,1443,622116,455403,26721,91282,36276,11336,953,784488,558311,40027,118886,51515,15689,1427
2,2,336657,161683,169149,289548,129496,159833,290727,128180,160412,289388,128110,161025,394967,205164,189441,398774,197861,192430,293813,153885,133687,228112,107938,120008,229464,115242,111482,227854,110820,116825,356699,155860,179091,572040,377331,29584,128372,29230,5013,593,123617,24754,1269,2924,0,764234,476477,52723,184345,52633,9437,2930,0,0,574635,378574,30971,127498,30042,5195,482,0,0,0,0,0,765244,474036,54655,184011,54196,10391,2797,159559,39796,1354,723,2323,32795,734276,477746,41560,171975,43647,8394,2162,0,0,557134,377182,26450,120917,30890,5875,1377,0,0,610995,379322,39683,125252,34687,1787,777,2774,26713,785524,466448,60780,188809,60355,19059,3684,610995,379322,39683,138474,43607,13622,2421,784738,466551,60730,187486,60392,19059,3669
3,3,284716,189458,90528,230982,146812,83909,232198,145113,84402,230992,144942,85746,335831,233693,101745,342097,231408,103701,253672,178009,71258,202910,135716,66950,203957,139057,62347,202573,136456,65868,317981,201835,98939,579892,268717,31373,254308,17793,5416,554,248215,14493,1643,3012,0,772539,327175,58375,358813,34814,10673,2607,0,0,581063,264873,33275,256573,18522,5327,415,0,0,0,0,0,775361,321121,61108,362986,36939,10712,3130,331508,24227,1811,590,2857,32138,769470,342038,44504,358290,29103,11161,2552,0,0,588886,280568,30512,256924,21298,7879,1671,0,0,610482,257603,45407,253707,21360,2025,1037,3063,26280,779760,306855,65704,366483,38365,19086,3627,610482,257603,45407,273747,28851,14114,2516,784576,307972,65833,369441,38395,19092,3622
4,4,330582,208328,117960,277821,164840,112646,279273,162158,113130,277952,164005,113572,389361,257838,131172,395780,255472,134461,291776,194141,93533,229125,144340,84608,230138,146109,81569,228969,144798,83946,353592,215797,123087,577571,266819,20435,272438,11053,6520,364,265737,9302,2083,2190,0,768787,322807,58582,366193,20285,11214,1416,0,0,582193,266500,21801,276396,10504,6485,311,0,0,0,0,0,772411,321096,60075,370650,20272,10550,1084,346745,13944,2093,336,2180,25953,733398,321607,44952,349436,17568,8505,1279,0,0,565084,264016,30093,256425,13373,6150,820,0,0,622903,269550,50576,261813,14906,2381,396,2838,20443,787574,318492,76198,360957,24738,16785,1731,622903,269550,50576,276404,19355,12752,1146,785147,317266,76199,359269,24675,16779,1697
9,5,371974,165352,201102,329443,135395,193829,331123,133571,195538,329254,133795,195167,426603,205372,220869,431998,196901,227431,328513,158319,163725,254347,111587,142538,256089,115405,138062,254306,113678,140418,389009,163543,205416,602043,442018,12688,132850,9930,4085,221,128785,8105,1221,1182,0,777202,545874,29206,177960,21865,6208,903,0,0,606008,444421,13363,132306,10994,4121,295,0,0,0,0,0,780597,545574,30419,177906,23273,6538,830,163552,17332,1697,216,1615,20186,755846,535434,22877,177566,16944,6289,659,0,0,594008,430460,15458,132628,12797,4548,437,0,0,629047,437380,23971,128635,16790,1434,177,2374,18286,787948,533599,35902,178468,26668,14225,1111,629047,437380,23971,136841,20286,10491,701,784415,532924,35413,176031,26521,14094,1092
8,6,337272,122606,209445,300028,100049,199750,301646,96783,202879,299858,97943,201592,395118,160035,234737,399013,147795,243492,285618,115335,164611,220433,78874,141355,222037,83375,135790,220442,82428,137797,349308,117238,212005,586259,507055,17965,49486,7392,3524,281,46360,6017,1272,1241,0,766752,624489,49503,78667,15826,6487,949,0,0,591228,508409,19608,50036,8217,4073,288,0,0,0,0,0,772654,625579,51198,78730,16493,7214,1093,61512,11424,1253,388,1498,19807,740702,622710,37238,66808,10978,5820,757,0,0,579941,499466,23323,46611,7885,4182,509,0,0,622126,504372,39227,46867,9551,1202,232,2002,18673,782582,613123,61053,75958,17313,16776,1135,622126,504372,39227,53673,12614,12315,708,784161,614835,61045,75564,17328,16760,1130
1,7,363825,162818,194822,324458,135059,189168,325704,132208,191387,324434,133454,190677,427313,206556,220245,433292,203446,220824,315152,153157,155547,230365,100394,129705,231458,103553,125181,230313,102887,127196,361890,147363,192531,540193,406335,30542,76207,21308,4066,399,71354,17377,1650,1724,0,756643,530412,71974,113377,41208,7377,1743,0,0,547692,409378,32403,78386,21570,4110,351,0,0,0,0,0,764180,527995,75392,118486,42028,8161,1603,96137,30256,1790,355,2265,29987,675085,495498,50987,97772,29240,6921,1365,0,0,494317,374424,31902,66792,18989,4612,836,0,0,592429,406351,56574,74786,25931,1447,468,2842,24030,784999,513793,88650,120861,48377,19160,2235,592429,406351,56574,85385,32683,13462,1405,784925,514078,88487,120233,48289,19156,2223
5,8,343516,257697,78386,286206,209422,76432,288872,208887,77959,286627,209095,77012,397574,303492,93561,401083,308037,84453,321186,250415,62337,253011,189795,62935,254863,192884,59540,253261,190177,62807,368301,266463,75817,507280,320421,56348,65051,60332,2986,376,61688,54360,804,2099,0,778400,403215,153067,109190,114268,8130,1920,0,0,515961,322644,59046,67230,62148,2706,466,0,0,0,0,0,781864,402576,150430,111630,116456,8000,2060,96628,99272,1127,585,3603,27647,714160,385442,138710,94356,96050,8128,1731,0,0,572791,324678,101418,71548,74793,6004,1297,0,0,621579,321035,116484,72349,84395,733,337,3283,22963,784138,383316,163364,106755,124278,15908,1850,621579,321035,116484,82646,95671,11899,1355,784725,383468,163543,106788,124308,15906,1847
11,9,337307,101262,231915,293206,78321,214663,295000,76118,217102,292656,77773,214592,394154,137197,256550,400020,117022,277139,286256,100652,181163,228590,70803,157546,231086,73461,154896,228499,72930,155348,365459,101771,247323,637809,577427,9323,39730,7036,3456,241,37734,6105,1341,1035,0,798044,704706,20445,54681,15393,5034,1167,0,0,636792,575220,9795,40000,7422,3823,293,0,0,0,0,0,795255,700660,20722,54645,15551,5235,1120,46088,12925,1624,362,1280,11591,815773,732765,16748,50449,12105,4667,497,0,0,654380,592836,10957,37882,9545,3660,357,0,0,640120,555325,16233,36590,12146,1013,139,1609,17065,786214,673423,24397,54734,18268,14108,917,640120,555325,16233,41314,14614,10993,631,784400,673448,24225,52957,18154,14100,902
7,10,344294,227460,109942,298150,190658,107173,300096,189251,109013,298245,189418,108412,392429,268174,123835,396200,269743,118280,321618,223750,90952,237513,156271,81014,238798,158869,77306,237506,156905,80366,359643,223504,110873,467238,286817,40791,38336,96449,2610,344,35268,89461,941,2196,0,744620,379382,100457,68459,199665,6369,1939,0,0,479911,286727,45430,39406,103441,2486,308,0,0,0,0,0,760095,380609,103833,67372,210294,6451,1927,52342,185200,1187,465,3731,32733,659211,377861,81864,51193,147987,5102,1377,0,0,485663,288192,56744,35705,104125,3384,936,0,0,591665,295958,75582,42606,151286,648,317,3086,22182,784690,370701,109288,70630,227450,11551,1753,591665,295958,75582,50201,163689,8165,1176,784875,370766,109324,70493,227499,11549,1751
6,11,328468,209949,112402,266468,163329,102846,268010,161946,104020,266747,163133,103265,397649,264197,133169,402600,264533,130752,291799,197123,88481,220370,139046,81046,224113,142661,79169,223156,140398,82501,346072,208807,115286,495894,269858,66399,94899,58233,3320,497,90416,52489,1468,3186,0,771588,354959,165492,154520,102958,8414,2879,0,0,502432,265962,70366,98327,61226,3339,441,0,0,0,0,0,776572,347391,168743,157966,108228,9178,2646,134234,90580,1712,491,3122,30289,695983,356367,127696,128287,86024,9027,2245,0,0,505559,274603,83502,86312,61077,5813,1421,0,0,581592,254680,123856,98693,76079,931,638,3079,23636,784107,321150,183300,157036,119951,17885,2740,581592,254680,123856,111236,87442,12594,1748,784943,321379,183543,156997,120004,17887,2736