ID,Label,Total_2016-2022_Comp,Dem_2016-2022_Comp,Rep_2016-2022_Comp,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2022_Con,Dem_2022_Con,Rep_2022_Con,Total_2022_Sen,Dem_2022_Sen,Rep_2022_Sen,Total_2022_SoS,Dem_2022_SoS,Rep_2022_SoS,Total_2020_Tres,Dem_2020_Tres,Rep_2020_Tres,Total_2020_SoS,Dem_2020_SoS,Rep_2020_SoS,Total_2020_LtG,Dem_2020_LtG,Rep_2020_LtG,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Aud,Dem_2020_Aud,Rep_2020_Aud,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_LtG,Dem_2016_LtG,Rep_2016_LtG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,346095,230569,109463,352463,232771,113737,287291,197578,89324,289191,195234,93301,281091,165716,8733,373898,222879,150816,378350,191839,186204,350631,300663,0,389524,263141,124988,378303,246079,131936,393530,271047,110137,372025,248229,123580,304664,200648,104016,313604,191644,121960,327694,208315,119379,322943,207471,92289,300439,215778,84661,326752,189830,136922,461188,338535,22973,11739,79231,4511,1480,9639,72570,1343,2961,0,733442,445253,55175,24106,202413,8952,5769,0,0,468560,339302,24250,12896,83198,4751,1306,0,0,0,0,0,747798,440673,57016,26032,213908,9474,4759,16871,189734,1992,1657,4148,35702,634304,436117,45207,18509,128557,7723,3700,0,0,481230,344009,29157,11671,91251,5300,2435,0,0,588793,337761,42700,14141,160597,1510,1365,3467,27252,769572,414977,62930,30200,243550,14254,5519,588793,337761,42700,19951,173607,10224,3581,769856,415151,62935,30252,243565,14260,5527
8,2,380932,211698,162314,383009,213189,163024,331534,191095,139849,333066,188368,143932,323021,158363,18764,417880,224481,193061,422292,197970,223811,391217,294354,0,432803,239111,192296,421449,232550,188505,435172,248059,172025,416304,236654,179318,327679,185050,142629,334555,178781,155774,345787,197368,148419,339953,177189,134721,317392,208255,109138,345026,183086,161940,549311,451229,37212,12604,28427,14737,1899,9642,23979,8667,3539,0,743808,557135,86712,25066,54535,26670,7607,0,0,560430,454499,40981,13391,31028,15525,1686,0,0,0,0,0,755369,554978,91731,26595,58115,27722,7975,15376,40662,11821,3083,2471,35238,685480,533064,70508,18722,43175,24734,5201,0,0,529243,430784,41984,11006,30299,16420,3151,0,0,608882,448730,63844,12468,35957,9648,2923,3293,32019,768842,538277,98910,28947,62487,37158,8569,608882,448730,63844,18745,46354,26265,5694,770414,539337,98967,29070,62506,37245,8583
1,3,364266,167961,190621,362933,169021,188310,320936,161162,158022,322335,148951,172862,311019,129575,16946,404245,176738,227084,406777,159729,246489,366758,267150,0,420395,191851,227396,405901,187422,218008,424566,197276,213878,402804,191104,211290,304252,148872,155380,305396,135068,170328,314929,155708,159221,313661,133347,156440,287357,170533,116823,314050,141596,172453,533043,460220,27379,10455,19217,11454,1790,7240,15496,3645,2798,0,729281,585128,69630,20992,35910,19341,8086,0,0,544205,465306,30187,11498,20780,11656,1831,0,0,0,0,0,740853,585767,73430,22935,37719,19722,8561,10204,25749,5075,4105,1810,34709,671028,559172,51307,15867,28348,17256,5655,0,0,501769,433027,29180,8693,18808,11533,3257,0,0,594860,466381,52739,9596,22406,5297,4156,2850,31435,769934,579721,84668,23924,42547,31739,10875,594860,466381,52739,15012,30295,23104,6878,770750,580471,84673,23847,42554,31758,10883
3,4,299592,108766,186858,303429,114586,184949,248180,75144,168070,252119,82613,169035,240358,74278,21170,333333,115643,217409,335204,105297,229508,299218,193042,0,344886,123970,219735,335032,126459,208190,346657,131405,204825,331915,129030,202567,256147,96692,159455,266284,92394,173889,275875,118638,157238,272089,91726,161002,249913,138036,111877,275399,106134,169265,473694,350179,89167,5695,7576,19108,552,4512,5624,13772,1510,0,743690,440715,248005,13003,16969,32968,2795,0,0,481548,352748,93644,6032,8195,18734,810,0,0,0,0,0,751231,440126,253133,13217,17594,32669,3861,7365,9830,17403,1731,1113,20524,699069,438641,211883,10049,13972,31812,1917,0,0,501307,346496,122306,5530,9294,20776,1093,0,0,566258,347141,167084,4202,9301,14486,779,2503,20762,769139,429164,266550,12795,19901,47413,3363,566258,347141,167084,7534,13619,32591,2117,770940,430038,266641,12895,19909,47510,3370
2,5,345065,154587,184687,347574,158322,183554,294958,123206,170871,296196,129684,165959,283989,113002,16668,378931,160931,217531,381195,147008,233595,340822,251187,0,394057,173861,218836,381479,173315,207690,396156,179263,202224,377900,175632,201817,305076,147139,157937,300535,125700,174835,311253,152243,159010,306854,124432,155784,284805,163665,121140,311089,140379,170710,534390,453495,40605,11977,13338,11360,1407,8714,9947,4924,2525,0,735746,572219,95045,23876,29071,22215,6112,0,0,545514,459060,44367,12655,14416,11767,1507,0,0,0,0,0,746363,575351,98266,25016,30380,22515,6185,12789,18860,5849,3352,1600,30296,680908,548574,75885,18103,22956,18012,4260,0,0,518730,434915,45020,10898,16482,11931,2629,0,0,600776,462573,69412,11146,15632,6559,2970,2689,29795,775168,572043,107382,26738,32360,32031,8491,600776,462573,69412,17048,23600,22906,5381,770839,569699,107273,25971,32264,31853,8415
4,6,405244,224045,173550,405330,224596,173243,361963,215377,146189,362765,206252,155652,353131,171033,13091,442121,232746,208961,446912,194356,252027,410385,329251,0,457409,251491,204517,446230,245595,200154,460112,258997,184292,441109,251222,189485,352344,199048,153296,352074,185846,166228,363719,209544,154175,358494,183437,143471,335334,221870,113464,363180,193352,169828,577339,482390,29669,15171,25147,18772,2752,12024,18801,9417,3695,0,741845,585785,56706,26081,47158,30190,8714,0,0,587271,488283,31474,15763,26289,19271,3352,0,0,0,0,0,755097,587857,60631,28089,49835,30664,8802,14664,30103,12516,4308,2141,42886,696305,567537,43668,20572,38343,29121,7764,0,0,549233,463172,26963,12954,26592,19602,4781,0,0,623403,484154,43689,12770,26468,11466,4020,3634,37202,773733,576318,66773,29863,53325,42838,11967,623403,484154,43689,19818,38333,30473,7763,770353,574691,66638,29145,53219,42684,11886
9,7,410754,341565,63421,418201,345840,66698,342780,285852,55652,347780,294272,52772,338696,247339,3816,437249,332537,104455,441564,295555,145594,419385,394919,0,452336,377698,73374,442569,361461,80807,456637,384254,60241,435606,361282,74051,375749,313527,62223,374693,299107,75586,392570,320058,72512,392491,318092,51101,366221,309924,56296,391018,302113,88905,568126,429461,29280,26192,70220,8160,1285,21392,58059,2572,4253,0,753052,516208,52929,44406,131214,13549,5849,0,0,576673,430921,30838,27147,74892,7594,1392,0,0,0,0,0,767633,514085,55654,45884,142296,13382,6156,32638,112042,2902,2125,2642,45546,643603,469977,40621,36652,88008,12372,4695,0,0,541080,405586,29888,26701,70997,9542,3471,0,0,653630,423390,49616,28046,106495,2852,1898,3796,37537,769984,485644,64703,49208,150005,18901,6718,653630,423390,49616,36883,125428,14946,4860,770839,486035,64725,49480,150042,18930,6728
6,8,370962,175536,188841,371129,176717,187969,322628,161823,159574,324393,155497,168130,313055,131987,15645,410164,184333,225556,414606,154938,259233,380981,271603,0,425922,196668,227791,413930,192309,221221,428285,210316,203307,408615,198315,210044,316338,154179,162159,313900,140544,173356,326687,163169,163518,321318,144374,150680,297136,179041,118096,326690,145537,181153,525405,431823,30749,15696,30495,12143,1981,12210,25537,5721,3140,0,744045,551984,79831,30586,64238,22387,8004,0,0,530358,435534,32194,15294,30401,11810,2540,0,0,0,0,0,752616,553109,82012,30159,66584,21932,9358,17437,47402,7042,4757,2035,38858,669122,530166,59938,20467,43056,18036,5719,0,0,496582,409599,35292,11734,28460,11615,3353,0,0,584596,428249,56394,14719,40495,5979,3815,3017,31928,771545,538755,89088,33585,74060,30353,10860,584596,428249,56394,21033,50986,21439,6800,770281,538155,89055,33264,74015,30310,10831
7,9,327269,241226,81552,333230,245386,83445,261912,195932,65331,264812,198115,66074,257016,168244,5386,360279,249477,110514,363583,219254,143883,340087,307387,0,373606,275611,96910,364045,264218,99493,377899,280313,87761,358816,264747,93797,285310,212585,72725,287604,203521,84083,300913,223370,77543,301400,216634,66316,279365,220358,59007,300430,208520,91910,503961,295588,36621,62441,87508,9993,7014,55830,80266,3767,6158,0,744639,357611,105642,116376,151333,19103,18435,0,0,508323,294671,39377,63477,89864,9883,6188,0,0,0,0,0,749355,352770,108333,118938,156154,19708,16757,93944,129471,3687,11077,3439,46623,672614,347325,88434,92097,131891,16849,14731,0,0,519092,291817,56115,60970,98776,11484,8982,0,0,609973,292263,79301,69216,119186,3651,9439,3252,33665,768903,338201,116033,116779,172692,24489,19793,609973,292263,79301,81852,134659,18632,13220,770583,338762,116075,117455,172784,24543,19869
5,10,312940,173241,133569,317488,176910,134585,253991,144413,109079,255243,142841,111605,249004,108984,9714,353249,189366,163492,356988,160736,195779,336507,267360,0,365469,200806,163211,356329,196977,158910,368561,208640,145949,352965,204585,147994,256757,144713,112044,272969,145151,127818,282890,164957,117933,279006,145450,109562,261025,172715,88310,282240,149413,132827,531457,370474,41361,49910,42164,13128,8932,42402,34299,6203,6506,0,734559,461907,87904,86507,79194,24267,22368,0,0,541878,374092,44155,51183,43983,13528,8999,0,0,0,0,0,746150,463193,91316,88788,82032,25530,22529,58432,52725,7390,13024,1964,58095,669004,444281,68061,73668,65460,23009,16578,0,0,502322,355123,40269,46015,45808,14675,9754,0,0,593518,367862,65895,47557,47920,6701,12274,3456,41853,768461,445720,102176,94201,88919,34457,28034,593518,367862,65895,63614,65007,23974,17380,770426,446481,102231,94861,88988,34540,28097